Code du département;Code de la circonscription;Inscrits;JOLY;LE_PEN;SARKOZY;MELENCHON;POUTOU;ARTHAUD;CHEMINADE;BAYROU;DUPONT-AIGNAN;HOLLANDE
25;5;77258;1645;10730;23961;5607;818;365;209;6529;1421;12581
26;1;72800;1540;10352;16159;6345;571;343;140;5217;1013;16518
26;2;87735;1497;16995;18497;7984;753;375;211;5920;1351;17415
26;3;102551;3544;16281;21429;12400;1071;529;218;8126;1654;20417
26;4;89970;1682;16796;19206;8148;792;810;190;6347;1560;17857
27;1;85312;1116;15358;20110;6167;903;426;168;5762;1467;15700
27;2;76980;1086;13900;17531;6256;854;412;176;5461;1278;15528
27;3;81704;1056;15061;18886;6727;925;413;157;5897;1441;15928
27;4;86667;1178;15198;17235;8088;1026;443;206;5629;1463;18718
27;5;87167;1108;16587;19148;7334;876;495;183;5395;1425;16590
28;1;87319;1419;11940;20990;6612;799;371;200;7255;1499;18368
28;2;71974;917;12203;15753;5252;650;367;129;4593;1221;14960
28;3;71254;773;12161;16163;4950;724;389;137;5037;1246;14900
28;4;67237;679;12763;16685;4416;726;460;156;4957;1341;12654
29;1;85838;2328;7710;17743;7900;1107;429;196;8669;1299;24625
29;2;77990;1834;6779;13801;7328;786;293;160;6322;871;22845
29;3;86160;1906;9146;18564;7340;931;386;187;8660;1339;23295
29;4;82138;1897;7212;16888;8432;909;383;182;7296;1117;24544
29;5;91166;1937;8798;20660;7470;1028;449;193;9743;1375;25298
29;6;89318;2268;9703;17722;9173;1316;510;238;8267;1417;24262
29;7;79751;2159;7981;15787;8181;1063;403;186;7355;1304;21320
29;8;84410;2207;9772;15829;8681;1133;494;189;6809;1222;22531
30;1;83350;1179;16819;17226;7679;532;247;127;4457;905;16763
30;2;82315;1222;19707;18187;7584;601;334;157;4349;1034;15092
30;3;88772;1378;18914;19867;8127;728;352;180;5584;1175;16820
30;4;87667;1363;18624;16170;10951;815;417;174;5083;1122;17400
30;5;93398;2291;17455;15801;13630;928;390;186;4996;1026;19954
30;6;77636;1422;15127;16676;7760;611;206;124;4424;825;14749
31;1;76334;2458;7042;13584;9053;670;223;147;5842;816;20787
31;2;94385;2446;10601;18033;10546;792;299;168;7044;1187;25211
31;3;73042;2201;6402;18276;7089;527;177;146;6460;822;17821
31;4;66065;2232;5030;11153;8300;510;164;123;4397;564;17771
31;5;90084;1557;15092;17773;9574;889;340;197;6800;1278;22727
31;6;103044;2420;13690;18578;10656;905;389;232;8870;1450;29431
31;7;92441;1871;15341;16951;10031;943;349;205;6708;1330;23847
31;8;84959;1486;13682;14213;8980;884;347;148;5638;1112;22799
31;9;76370;1981;8516;12179;8896;641;268;139;4965;810;21895
31;10;88311;2417;10765;17667;9673;911;283;198;7924;1232;25406
32;1;73648;1415;9080;14005;7827;770;341;157;6267;1062;20741
32;2;70150;1300;10110;15128;6731;716;305;141;5736;1129;17705
33;1;85925;1963;6761;22136;6833;914;195;138;7562;931;21039
33;2;62137;2320;3493;13350;6246;606;144;108;5458;507;16338
33;3;74178;2141;6189;11084;9436;973;237;138;5750;750;22190
33;4;86631;1122;11709;12833;8848;1191;322;144;5410;1019;25514
33;5;102428;1570;16646;20145;9223;1778;404;150;7667;1387;25196
33;6;95183;2013;9866;19253;8799;1256;281;196;8636;1291;26939
33;7;72620;1762;6424;13402;7207;941;235;139;6764;917;21863
33;8;97814;1688;12679;26850;7540;1210;302;186;7786;1510;19846
33;9;85580;1558;11838;16345;8952;1300;377;173;6937;1238;22876
33;10;78500;1205;13590;16723;6643;989;342;141;5417;1075;18143
33;11;88093;1060;17055;15613;8046;1368;449;203;5712;1308;20707
33;12;78574;1538;11561;15662;8392;1100;383;179;6178;1149;19392
34;1;79031;1602;13068;16589;7630;566;213;143;4706;897;17440
34;2;58251;1846;5074;9118;7377;405;121;105;2937;481;16339
34;3;77193;2032;11298;17833;7589;583;223;174;5814;947;17785
34;4;103137;2575;18799;20222;12306;1004;356;244;6265;1330;22097
34;5;90867;1674;17799;16008;11373;1060;414;161;4824;1087;19886
34;6;86114;1016;19126;18796;7634;604;270;112;3893;899;16577
34;7;95924;1365;20324;21427;9900;768;322;156;4135;1042;18037
34;8;80607;1598;15011;15827;9123;630;236;126;4536;949;17043
34;9;75492;1515;13844;16794;7104;601;242;145;4241;830;15727
35;1;87048;2806;7021;14366;8614;810;442;169;8222;1141;27550
35;2;86833;2859;6227;18129;7801;761;317;176;9745;1078;26488
35;3;81381;2037;9218;16993;7215;881;440;171;8203;1231;22321
35;4;85031;2095;11840;17390;7662;1000;579;164;8297;1540;21221
35;5;97396;2005;10953;25230;6983;1055;638;216;12342;1840;20697
35;6;85292;1659;10983;20012;6598;985;608;178;8898;1517;19636
35;7;95210;1924;10443;23656;7150;956;487;158;8304;1360;21717
35;8;78852;2982;5042;14909;7878;618;365;145;7480;894;24305
36;1;82209;999;12268;15944;7034;860;490;174;5579;1343;19876
36;2;91563;1016;14896;17620;8611;1125;700;219;6894;1671;21629
37;1;65487;1731;5400;13905;6381;596;275;150;5126;731;16260
37;2;84326;1498;12502;19605;7439;934;436;177;7135;1469;18478
37;3;94500;1548;12820;21470;8688;1013;534;206;7959;1661;21802
37;4;88179;1381;11725;19614;7946;982;546;188;7182;1440;20389
37;5;80412;1330;11139;20086;6203;778;481;180;7018;1437;17281
38;1;80549;3216;6125;19594;7425;450;206;151;7053;914;20448
38;2;75014;1861;10389;12538;9633;601;319;132;4973;961;19647
38;3;59876;1876;6724;9190;7439;455;269;120;3604;652;16763
38;4;87773;2530;12509;17985;9670;769;364;180;6108;1435;20271
38;5;97730;3147;13765;18852;10808;919;374;246;7790;1578;23418
38;6;77054;1114;15479;17056;6001;611;349;172;5288;1322;14325
38;7;87576;1431;17223;18159;8298;851;443;179;6453;1556;17064
38;8;74923;1346;13418;16612;6494;604;320;140;5342;1170;15674
38;9;93219;2146;14517;18938;9150;824;390;212;7685;1508;20310
38;10;87565;1522;16228;17366;7739;762;416;194;6312;1562;17618
39;1;65037;1335;10404;13539;6944;677;391;134;5385;1221;13052
39;2;54939;1172;8910;12507;5372;584;299;143;4582;1153;9978
39;3;68276;1184;12144;13762;7022;767;394;148;4852;1158;14880
40;1;97627;1387;12110;19694;9082;1175;390;181;8048;1434;25271
40;2;104556;1939;11353;22263;11234;1228;364;176;8801;1310;26938
40;3;94557;1140;10918;17930;10192;1202;407;159;8588;1264;27652
