circo;Inscrits;Exprimés;%_Exp/Ins;LFI;voix;%_Voix/Ins;%_Voix/Exp;PCF;voix;%_Voix/Ins;%_Voix/Exp;EELV;voix;%_Voix/Ins;%_Voix/Exp;PS;voix;%_Voix/Ins;%_Voix/Exp;EM;voix;%_Voix/Ins;%_Voix/Exp;UDI;voix;%_Voix/Ins;%_Voix/Exp;LR;voix;%_Voix/Ins;%_Voix/Exp;DLF;voix;%_Voix/Ins;%_Voix/Exp;FN;voix;%_Voix/Ins;%_Voix/Exp
92_2;67876;25791;38.0;Nino SCHILLACI;3181;4.69;12.33;;0;0.0;0.0;Laurent GUILLARD;1435;2.11;5.56;Chantal BARTHÉLÉMY-RUIZ;2101;3.1;8.15;Adrien TAQUET;17136;25.25;66.44;;0;0.0;0.0;Fabrice GAROYAN;406;0.6;1.57;;0;0.0;0.0;Liliane PRADIER;1532;2.26;5.94
92_3;81028;29723;36.68;Virginie KENLER;3009;3.71;10.12;Chloé COURMONT;361;0.45;1.21;Joëlle PARIS;1494;1.84;5.03;Isabelle DAHAN;2162;2.67;7.27;Christine HENNION;20552;25.36;69.15;;0;0.0;0.0;Richard MUGERIN;397;0.49;1.34;;0;0.0;0.0;Floriane DENIAU;1748;2.16;5.88
92_4;76065;24615;32.36;Rossana MORAIN;3399;4.47;13.81;;0;0.0;0.0;Alexis MARTIN;1241;1.63;5.04;Habiba BIGDADE;1696;2.23;6.89;Isabelle FLORENNES;15727;20.68;63.89;;0;0.0;0.0;Shahnissar MAHMOOD;288;0.38;1.17;;0;0.0;0.0;Laurent SALLES;2264;2.98;9.2
92_5;70269;30504;43.41;Aïssa TERCHI;3525;5.02;11.56;Hicham DAD;475;0.68;1.56;Marie-Claude FOURNIER;1156;1.65;3.79;Lies MESSATFA;2552;3.63;8.37;Céline CALVEZ;15672;22.3;51.38;;0;0.0;0.0;Arnaud DE COURSON;5518;7.85;18.09;;0;0.0;0.0;Geoffroy RONDEPIERRE;1606;2.29;5.26
92_6;74221;32974;44.43;Samuel FLORIN;2103;2.83;6.38;Zohra BOUGHERARA;256;0.34;0.78;Vincent DUBAIL;879;1.18;2.67;Marie BRANNENS;1322;1.78;4.01;Laurent ZAMECZKOWSKI;17761;23.93;53.86;;0;0.0;0.0;Constance LE GRIP;8968;12.08;27.2;;0;0.0;0.0;Emmanuelle CUIGNET;1685;2.27;5.11
92_7;86563;42553;49.16;Olfa MZOUGHI;2636;3.05;6.19;Maryline NGUYEN;560;0.65;1.32;;0;0.0;0.0;;0;0.0;0.0;Jacques MARILOSSIAN;23635;27.3;55.54;;0;0.0;0.0;Eric BERDOATI;13606;15.72;31.97;;0;0.0;0.0;Lucia LAPORTE;2116;2.44;4.97
92_8;68737;35105;51.07;Nelly PASQUELIN;3156;4.59;8.99;;0;0.0;0.0;Renaud DUBOIS;2010;2.92;5.73;;0;0.0;0.0;Jacques MAIRE;19055;27.72;54.28;;0;0.0;0.0;Gilles BOYER;9066;13.19;25.83;;0;0.0;0.0;Marc THOMAS;1818;2.64;5.18
92_9;68013;16283;23.94;;0;0.0;0.0;Isabelle GOÏTIA;856;1.26;5.26;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Thierry SOLÈRE;14346;21.09;88.1;;0;0.0;0.0;Nina SMARANDI;1081;1.59;6.64
92_10;80592;30403;37.72;Gérald DAHAN;3694;4.58;12.15;Boris AMOROZ;568;0.7;1.87;Pauline COUVENT;2278;2.83;7.49;Thomas PUIJALON;2399;2.98;7.89;Gabriel ATTAL;19572;24.29;64.38;;0;0.0;0.0;Philippine COUR;336;0.42;1.11;;0;0.0;0.0;Anne-Laure MALEYRE;1556;1.93;5.12
92_11;69206;32876;47.5;Yasmine BOUDJENAH;7957;11.5;24.2;;0;0.0;0.0;;0;0.0;0.0;Julie SOMMARUGA;5237;7.57;15.93;Laurianne ROSSI;13895;20.08;42.26;;0;0.0;0.0;Philippe PARAIN;3736;5.4;11.36;;0;0.0;0.0;Julia CARRASCO;2051;2.96;6.24
92_12;92760;46720;50.37;Madeleine BAHLOUL;4893;5.27;10.47;Christophe LEROY;746;0.8;1.6;;0;0.0;0.0;Jean-Marc GERMAIN;4758;5.13;10.18;Jean-Louis BOURLANGES;20978;22.62;44.9;;0;0.0;0.0;Philippe PEMEZEC;13050;14.07;27.93;;0;0.0;0.0;Damien YVENAT;2295;2.47;4.91
92_13;89017;47493;53.35;Nicolas LASGI;4448;5.0;9.37;;0;0.0;0.0;Denis DELRIEU;2437;2.74;5.13;Benjamin LANIER;2591;2.91;5.46;Frédérique DUMAS;23201;26.06;48.85;;0;0.0;0.0;Georges SIFFREDI;12664;14.23;26.66;;0;0.0;0.0;Agnès LAFFITE;2152;2.42;4.53
93_1;61738;19359;31.36;Éric COQUEREL;4256;6.89;21.98;Frédéric DURAND;1693;2.74;8.75;;0;0.0;0.0;Yannick TRIGANCE;2113;3.42;10.91;Sébastien MÉNARD;7136;11.56;36.86;;0;0.0;0.0;Marina VENTURINI;2834;4.59;14.64;;0;0.0;0.0;Gérard LEVENTAL;1327;2.15;6.85
93_2;54054;13852;25.63;Stéphane PEU;4785;8.85;34.54;;0;0.0;0.0;Laurent SERVIÈRES;694;1.28;5.01;Mathieu HANOTIN;3323;6.15;23.99;Véronique AVRIL;3575;6.61;25.81;;0;0.0;0.0;Bekhan YAGOULBAEV;112;0.21;0.81;;0;0.0;0.0;Estelle ARNAL;1363;2.52;9.84
93_3;72227;25787;35.7;Dominique DELAUNAY;4669;6.46;18.11;Marie-Claire LAFON;780;1.08;3.02;Eric MANFREDI;1150;1.59;4.46;;0;0.0;0.0;Patrice ANATO;12369;17.13;47.97;;0;0.0;0.0;Zartoshte BAKHTIARI;3818;5.29;14.81;;0;0.0;0.0;Patrice VELLA;3001;4.15;11.64
93_4;60819;18130;29.81;;0;0.0;0.0;Marie-George BUFFET;6428;10.57;35.46;;0;0.0;0.0;Najia AMZAL;1300;2.14;7.17;Prisca THEVENOT;4939;8.12;27.24;;0;0.0;0.0;Christine CERRIGONE;3434;5.65;18.94;;0;0.0;0.0;Gilles CLAVEL;2029;3.34;11.19
93_5;63728;13892;21.8;Ugo PORTIER;3325;5.22;23.93;Abdel SADI;2494;3.91;17.95;Fatimata SY;478;0.75;3.44;Valérie MERY;551;0.86;3.97;Malika MAALEM-CHIBANE;4629;7.26;33.32;;0;0.0;0.0;Denis LAZAROWICZ;229;0.36;1.65;;0;0.0;0.0;Jean-François PERIER;2186;3.43;15.74
93_6;52564;17906;34.07;Bastien LACHAUD;3756;7.15;20.98;Patrick LE HYARIC;1701;3.24;9.5;Nadia AZOUG;940;1.79;5.25;Elisabeth GUIGOU;3453;6.57;19.28;Alexandre AÏDARA;5304;10.09;29.62;;0;0.0;0.0;Karine FRANCLET;1315;2.5;7.34;;0;0.0;0.0;Line VALLES;1437;2.73;8.03
