circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
62_4;UMP;DANIEL FASQUELLE;2nd tour;31.13;23.67
62_5;PS;FRÉDÉRIC CUVILLIER;2nd tour;27.55;21.61
62_6;PS;BRIGITTE BOURGUIGNON;2nd tour;25.68;20.25
62_7;PS;YANN CAPET;2nd tour;25.59;19.87
62_8;PS;MICHEL LEFAIT;2nd tour;26.77;20.84
62_9;UMP;ANDRÉ FLAJOLET;2nd tour;27.02;19.71
62_10;PS;SERGE JANQUIN;2nd tour;26.44;20.07
62_11;PS;PHILIPPE KEMEL;2nd tour;25.7;19.08
62_12;PS;NICOLAS BAYS;2nd tour;26.75;20.56
63_1;PS;ODILE SAUGUES;2nd tour;32.29;25.29
63_2;PS;CHRISTINE PIRES BEAUNE;2nd tour;31.04;23.57
63_3;PS;PHILIPPE GORCE;2nd tour;28.96;22.53
63_4;PS;JEAN-PAUL BACQUET;2nd tour;32.49;25.03
63_5;PS;MARTINE MUNOZ;2nd tour;30.05;22.32
64_1;PS;MARTINE LIGNIERES-CASSOU;2nd tour;29.0;22.53
64_2;PS;NATHALIE CHABANNE;2nd tour;29.46;22.84
64_3;PS;DAVID HABIB;2nd tour;30.9;23.97
64_4;PS;FRANÇOIS MAITIA;2nd tour;29.62;22.69
64_5;PS;COLETTE CAPDEVIELLE;2nd tour;27.58;21.21
64_6;UMP;MICHÈLE ALLIOT-MARIE;2nd tour;27.27;22.41
65_1;PS;JEAN GLAVANY;2nd tour;32.22;24.58
65_2;PS;JEANINE DUBIE;2nd tour;30.62;23.24
66_1;UMP;DANIEL MACH;2nd tour;28.22;20.39
66_2;PS;TOUSSAINTE CALABRESE;2nd tour;24.15;18.5
66_3;PS;SÉGOLÈNE NEUVILLE;2nd tour;26.79;19.98
66_4;UMP;JACQUELINE IRLES;2nd tour;27.32;19.95
67_1;PS;ARMAND JUNG;2nd tour;27.25;21.57
67_2;UMP;JEAN-PHILIPPE MAURER;2nd tour;25.16;19.79
67_3;UMP;ANDRÉ SCHNEIDER;2nd tour;29.57;21.64
67_4;UMP;SOPHIE ROHFRITSCH;2nd tour;35.04;28.04
67_5;UMP;ANTOINE HERTH;2nd tour;40.08;26.31
67_6;UMP;LAURENT FURST;2nd tour;27.05;26.79
67_7;UMP;PATRICK HETZEL;2nd tour;39.52;26.92
67_8;UMP;FRÉDÉRIC REISS;2nd tour;38.08;27.48
67_9;UMP;CLAUDE STURNI;2nd tour;27.74;28.25
68_1;UMP;ERIC STRAUMANN;2nd tour;31.52;23.85
68_2;UMP;JEAN-LOUIS CHRIST;2nd tour;25.5;25.96
68_3;UMP;JEAN-LUC REITZER;2nd tour;40.88;28.27
68_4;UMP;MICHEL SORDI;2nd tour;23.52;23.93
68_5;UMP;ARLETTE GROSSKOST;2nd tour;28.93;22.57
68_6;UMP;FRANCIS HILLMEYER;2nd tour;30.18;22.29
69_1;PS;THIERRY BRAILLARD;2nd tour;26.96;20.89
69_2;PS;PIERRE-ALAIN MUET;2nd tour;28.64;22.64
69_3;PS;JEAN-LOUIS TOURAINE;2nd tour;28.0;21.86
69_4;UMP;DOMINIQUE NACHURY;2nd tour;29.93;25.57
69_5;UMP;CYRILLE BOUVAT;2nd tour;34.72;29.19
69_6;PS;PASCALE CROZON;2nd tour;29.42;23.46
69_7;PS;HÉLÈNE GEOFFROY;2nd tour;28.36;22.0
69_8;UMP;PATRICE VERCHERE;2nd tour;34.03;27.14
69_9;UMP;BERNARD PERRUT;2nd tour;32.82;26.02
69_10;UMP;CHRISTOPHE GUILLOTEAU;2nd tour;33.67;27.28
69_11;UMP;GEORGES FENECH;2nd tour;29.8;23.25
69_12;UMP;MICHEL TERROT;2nd tour;30.74;25.06
69_13;UMP;PHILIPPE MEUNIER;2nd tour;30.3;23.78
69_14;PS;YVES BLEIN;2nd tour;29.84;22.6
70_1;PS;CLAUDY CHAUVELOT-DUBAN;2nd tour;24.07;18.69
70_2;PS;JEAN-MICHEL VILLAUMÉ;2nd tour;24.34;18.73
71_1;UMP;GÉRARD VOISIN;2nd tour;27.97;21.64
71_2;UMP;JEAN-MARC NESME;2nd tour;27.62;21.49
71_3;UMP;JEAN-PAUL ANCIAUX;2nd tour;27.49;20.87
71_4;UMP;ARNAUD DANJEAN;2nd tour;27.97;20.75
71_5;PS;CHRISTOPHE SIRUGUE;2nd tour;26.89;20.58
72_1;UMP;FABIENNE LABRETTE-MENAGER;2nd tour;28.53;22.2
72_2;PS;MARIETTA KARAMANLI;2nd tour;28.25;22.15
72_3;UMP;BÉATRICE PAVY-MORANCAIS;2nd tour;28.9;21.32
72_4;UMP;MARC JOULAUD;2nd tour;27.92;20.99
72_5;UMP;DOMINIQUE LE MENER;2nd tour;28.39;22.15
73_1;FG;BRIGITTE ANDREYS;2nd tour;32.58;32.98
73_2;UMP;HERVÉ GAYMARD;2nd tour;29.91;23.83
73_3;UMP;PIERRE-MARIE CHARVOZ;2nd tour;28.78;22.02
73_4;PS;BERNADETTE LACLAIS;2nd tour;27.62;21.27
74_1;UMP;BERNARD ACCOYER;2nd tour;32.04;26.61
74_2;UMP;LIONEL TARDY;2nd tour;31.29;25.26
74_3;FG;ROLAND POURRAZ;2nd tour;39.62;29.81
74_4;UMP;VIRGINIE DUBY-MULLER;2nd tour;29.74;23.85
74_5;UMP;MARC FRANCINA;2nd tour;30.95;25.63
74_6;UMP;SOPHIE DION;2nd tour;32.34;26.78
75_1;UMP;PIERRE LELLOUCHE;2nd tour;30.95;27.75
75_2;UMP;FRANÇOIS FILLON;2nd tour;31.58;28.32
75_3;PS;ANNICK LEPETIT;2nd tour;29.31;23.7
75_4;UMP;BERNARD DEBRE;2nd tour;41.64;38.35
75_5;PS;SEYBAH DAGOMA;2nd tour;33.56;27.88
75_6;PS;SYLVAIN GUY;2nd tour;35.0;27.99
75_7;PS;PATRICK BLOCHE;2nd tour;32.25;26.29
75_8;PS;SANDRINE MAZETIER;2nd tour;29.97;24.12
75_9;PS;JEAN-MARIE LE GUEN;2nd tour;32.23;25.88
