circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
54_4;EM;Philippe BUZZI;2nd tour;19.57;14.95
54_5;PS;Dominique POTIER;2nd tour;18.27;14.17
54_6;LFI;Caroline FIAT;2nd tour;12.57;6.64
55_1;EM;Diana ANDRÉ;2nd tour;17.48;13.36
55_2;EM;Emilie CARIOU;2nd tour;23.21;12.9
56_1;EM;Hervé PELLOIS;2nd tour;26.66;24.59
56_2;LR;Philippe LE RAY;2nd tour;15.93;14.2
56_3;EM;Nicole LE PEIH;2nd tour;23.8;22.01
56_4;EM;Paul MOLAC;2nd tour;29.02;28.69
56_5;EM;Gwendal ROUILLARD;2nd tour;24.98;21.51
56_6;EM;Jean-Michel JACQUES;2nd tour;19.52;19.24
57_1;EM;Belkhir BELHADDAD;2nd tour;20.66;11.48
57_2;EM;Ludovic MENDES;2nd tour;22.18;14.93
57_3;EM;Richard LIOGER;2nd tour;17.97;15.15
57_4;EM;Mathilde HUCHOT;2nd tour;14.28;12.51
57_5;EM;Nicole GRIES-TRISSE;2nd tour;13.61;10.51
57_6;EM;Christophe AREND;2nd tour;14.18;8.09
57_7;EM;Hélène ZANNIER;2nd tour;22.0;11.38
57_8;EM;Brahim HAMMOUCHE;2nd tour;17.36;10.52
57_9;EM;Isabelle RAUCH;2nd tour;21.27;15.54
58_1;EM;Perrine GOULET;2nd tour;24.79;16.16
58_2;EM;Patrice PERROT;2nd tour;20.6;17.5
59_1;EM;Christophe ITIER;2nd tour;20.1;14.28
59_2;EM;Houmria BERRADA;2nd tour;17.34;10.32
59_3;EM;Christophe DI POMPEO;2nd tour;20.41;9.97
59_4;EM;Brigitte LISO;2nd tour;20.56;18.93
59_5;EM;Guillaume DEKONINCK;2nd tour;17.47;14.92
59_6;EM;Charlotte LECOCQ;2nd tour;21.49;20.13
59_7;EM;Arnaud VERSPIEREN;2nd tour;17.75;15.52
59_8;EM;Catherine OSSON;2nd tour;14.45;9.41
59_9;EM;Valérie PETIT;2nd tour;19.56;18.5
59_10;EM;Sophie TAÏEB;2nd tour;15.25;10.18
59_11;EM;Laurent PIETRASZEWSKI;2nd tour;26.61;14.24
59_12;EM;Anne Laure CATTELOT;2nd tour;17.06;10.37
59_13;EM;Sarah ROBIN;2nd tour;14.28;9.29
59_14;EM;Julien LEMAITTE;2nd tour;15.44;12.56
59_15;EM;Jennifer DE TEMMERMAN;2nd tour;25.39;14.36
59_16;PCF;Alain BRUNEEL;2nd tour;22.65;8.85
59_17;EM;Dimitri HOUBRON;2nd tour;18.82;10.3
59_18;EM;Claire POMMEYROL-BURLET;2nd tour;13.96;11.66
59_19;EM;Sabine HEBBAR;2nd tour;19.15;8.15
59_20;PCF;Fabien ROUSSEL;2nd tour;19.69;9.51
59_21;LR;;2nd tour;17.34;13.53
60_1;EM;Denis FLOUR;2nd tour;14.56;11.77
60_2;EM;Agnès THILL;2nd tour;24.15;14.64
60_3;EM;Pascal BOIS;2nd tour;17.98;11.73
60_4;EM;Stéphanie LOZANO;2nd tour;18.15;16.88
60_5;EM;Emmanuelle BOUR;2nd tour;19.42;14.05
60_6;EM;Carole BUREAU-BONNARD;2nd tour;23.53;14.75
60_7;EM;Jean-François DARDENNE;2nd tour;17.06;11.92
61_1;PS;Joaquim PUEYO;2nd tour;21.85;15.01
61_2;LR;Véronique LOUWAGIE;2nd tour;19.21;15.84
61_3;EM;Isabelle BOSCHER;2nd tour;22.33;18.12
62_1;EM;Bruno DUVERGÉ;2nd tour;29.24;14.42
62_2;EM;Jacqueline MAQUET;2nd tour;30.81;18.63
62_3;EM;Patrick DEBRUYNE;2nd tour;17.46;7.33
62_4;EM;Thibaut GUILLUY;2nd tour;22.05;19.39
62_5;EM;Jean-Pierre PONT;2nd tour;25.84;14.64
62_6;EM;Brigitte BOURGUIGNON;2nd tour;30.26;22.13
62_7;LR;Pierre-Henri DUMONT;2nd tour;22.07;9.56
62_8;EM;Benoit POTTERIE;2nd tour;29.14;13.54
62_9;EM;Marguerite DEPREZ-AUDEBERT;2nd tour;18.03;13.77
62_10;EM;Laurence DESCHANEL;2nd tour;21.46;9.2
62_11;FN;Marine LE PEN;2nd tour;21.55;21.08
62_12;EM;Coralie REMBERT;2nd tour;19.53;9.31
63_1;EM;Valérie THOMAS;2nd tour;23.09;18.56
63_2;PS;Christine PIRÈS BEAUNE;2nd tour;19.12;14.27
63_3;EM;Laurence VICHNIEVSKY;2nd tour;24.6;20.65
63_4;EM;Michel FANGET;2nd tour;18.81;16.71
63_5;PCF;André CHASSAIGNE;2nd tour;23.11;18.07
64_1;EM;Josy POUEYTO;2nd tour;24.84;20.54
64_2;EM;Jean-Paul MATTEI;2nd tour;29.69;22.51
64_3;EM;Michel BERNOS;2nd tour;21.58;16.49
64_4;EM;Loïc CORRÉGÉ;2nd tour;19.46;14.57
64_5;EM;Florence LASSERRE-DAVID;2nd tour;20.79;19.26
64_6;EM;Vincent BRU;2nd tour;22.69;20.16
65_1;EM;Jean-Bernard SEMPASTOUS;2nd tour;25.58;21.99
65_2;EM;Marie-Agnès STARICKY;2nd tour;17.07;16.59
66_1;EM;Romain GRAU;2nd tour;24.4;14.59
66_2;EM;Christine ESPERT;2nd tour;18.88;13.92
66_3;EM;Laurence GAYTE;2nd tour;24.52;10.87
66_4;EM;Sébastien CAZENOVE;2nd tour;25.91;14.23
67_1;EM;Thierry MICHELS;2nd tour;23.2;17.47
67_2;EM;Sylvain WASERMAN;2nd tour;20.17;16.6
67_3;EM;Bruno STUDER;2nd tour;20.27;18.06
67_4;EM;Martine WONNER;2nd tour;23.52;20.24
67_5;EELV;Caroline Reys;2nd tour;7.83;3.9
67_6;LR;Laurent FURST;2nd tour;20.19;17.52
67_7;LR;Patrick HETZEL;2nd tour;18.7;15.76
67_8;EM;Christian GLIECH;2nd tour;17.05;14.95
67_9;EM;Vincent THIEBAUT;2nd tour;18.95;15.92
68_1;LR;Eric STRAUMANN;2nd tour;19.8;17.67
68_2;EM;Hubert OTT;2nd tour;21.25;17.16
68_3;EM;Patrick STRIBY;2nd tour;18.12;14.51
68_4;EM;Aurélie TACQUARD;2nd tour;18.52;14.38
68_5;EM;Cécile LEHR;2nd tour;18.17;14.27
68_6;EM;Bruno FUCHS;2nd tour;20.41;13.55
69_1;LFI;Elliott AUBIN;2nd tour;10.49;6.95
69_2;EM;Hubert JULIEN-LAFERRIERE;2nd tour;22.69;21.58
69_3;EM;Jean-Louis TOURAINE;2nd tour;24.99;22.6
69_4;EM;Anne BRUGNERA;2nd tour;25.17;24.85
69_5;EM;Blandine BROCARD;2nd tour;25.84;23.71
69_6;EM;Bruno BONNELL;2nd tour;18.58;16.94
69_7;EM;Anissa KHEDHER;2nd tour;15.42;12.74
69_8;EM;Joëlle TERROIR;2nd tour;20.05;18.56
69_9;EM;Marion CROIZEAU;2nd tour;18.6;17.52
69_10;EM;Thomas GASSILLOUD;2nd tour;29.59;24.39
69_11;EM;Jean-Luc FUGIT;2nd tour;24.64;18.85
69_12;EM;Cyrille ISAAC-SIBILLE;2nd tour;25.43;21.82
69_13;EM;Danièle CAZARIAN;2nd tour;17.98;15.62
69_14;EM;Yves BLEIN;2nd tour;17.29;12.73
70_1;EM;Barbara BESSOT BALLOT;2nd tour;24.19;15.13
70_2;EM;Christophe LEJEUNE;2nd tour;20.85;16.37
71_1;EM;Benjamin DIRX;2nd tour;25.4;18.52
71_2;EM;Vincent CHAUVET;2nd tour;19.36;15.59
71_3;EM;Rémy REBEYROTTE;2nd tour;21.95;16.19
71_4;EM;Catherine GABRELLE;2nd tour;14.52;11.59
71_5;EM;Raphaël GAUVAIN;2nd tour;16.14;13.83
72_1;EM;Damien PICHEREAU;2nd tour;17.79;15.7
72_2;PS;Marietta KARAMANLI;2nd tour;16.61;11.42
72_3;EM;Pascale FONTENEL-PERSONNE;2nd tour;19.42;15.72
72_4;PS;Stéphane LE FOLL;2nd tour;22.18;13.76
72_5;EM;Willy COLIN;2nd tour;22.4;15.7
73_1;EM;Typhanie DEGOIS;2nd tour;18.58;16.47
73_2;LR;Vincent ROLLAND;2nd tour;16.42;13.7
73_3;EM;Philip VIVIER;2nd tour;16.67;15.38
73_4;EM;Patrick MIGNOLA;2nd tour;16.48;13.5
74_1;EM;Véronique RIOTTON;2nd tour;25.22;23.44
74_2;EM;Frédérique LARDET;2nd tour;20.49;19.73
74_3;EM;Guillaume GIBOUIN;2nd tour;18.67;16.89
74_4;EM;Laura DEVIN;2nd tour;18.77;14.98
74_5;EM;Marion LENNE;2nd tour;19.85;15.74
74_6;EM;Xavier ROSEREN;2nd tour;16.99;15.57
75_1;EM;Sylvain MAILLARD;2nd tour;30.35;29.76
75_2;EM;Gilles LE GENDRE;2nd tour;26.39;25.74
75_3;EM;Stanislas GUERINI;2nd tour;26.1;25.22
75_4;EM;Ilana CICUREL;2nd tour;26.61;25.43
75_5;EM;Benjamin GRIVEAUX;2nd tour;29.34;25.37
75_6;EM;Pierre PERSON;2nd tour;26.55;21.89
75_7;EM;Pacôme RUPIN;2nd tour;30.3;25.49
75_8;EM;Laetitia AVIA;2nd tour;23.62;22.57
75_9;EM;Buon TAN;2nd tour;23.8;19.58
75_10;EM;Anne-Christine LANG;2nd tour;26.84;23.46
75_11;EM;Marielle DE SARNEZ;2nd tour;25.76;24.99
75_12;EM;Olivia GREGOIRE;2nd tour;31.96;28.77
75_13;EM;Hugues RENSON;2nd tour;27.65;25.82
75_14;EM;Valérie BOUGAULT-DELAGE;2nd tour;26.38;24.41
75_15;PS;George PAU-LANGEVIN;2nd tour;12.15;12.15
75_16;EM;Mounir MAHJOUBI;2nd tour;24.73;19.11
75_17;EM;Béatrice FAILLÉS;2nd tour;18.26;14.05
75_18;PS;Myriam EL KHOMRI;2nd tour;24.01;11.02
76_1;EM;Damien ADAM;2nd tour;24.81;17.51
76_2;EM;Annie VIDAL;2nd tour;27.74;21.16
76_3;PCF;Hubert WULFRANC;2nd tour;16.74;12.44
76_4;EM;Sira SYLLA;2nd tour;24.5;11.99
76_5;PS;Christophe BOUILLON;2nd tour;25.57;19.98
76_6;EM;Philippe DUFOUR;2nd tour;20.28;13.87
76_7;LFI;Gérald MANIABLE;2nd tour;12.94;6.32
76_8;PCF;Jean-Paul LECOQ;2nd tour;17.48;10.37
76_9;EM;Stéphanie KERBARH;2nd tour;27.1;14.79
76_10;EM;Xavier BATUT;2nd tour;25.73;17.67
77_1;EM;Aude LUQUET;2nd tour;17.5;15.69
77_2;EM;Estelle ROUSSEAU;2nd tour;19.07;17.38
77_3;LR;;2nd tour;22.83;17.46
77_4;EM;Emmanuel MARCADET;2nd tour;17.67;12.56
77_5;FN;Joffrey BOLLÉE;2nd tour;9.09;8.71
77_6;EM;Laëtitia MARTIG-DECÈS;2nd tour;18.71;13.19
77_7;EM;Rodrigue KOKOUENDO;2nd tour;20.13;14.01
77_8;EM;Jean-Michel FAUVERGUE;2nd tour;21.41;18.66
77_9;EM;Michèle PEYRON;2nd tour;18.47;15.6
77_10;EM;Stéphanie DO;2nd tour;18.3;16.05
77_11;EM;Amandine RUBINELLI;2nd tour;16.68;12.47
78_1;EM;Didier BAICHÈRE;2nd tour;25.72;23.55
78_2;EM;Jean-Noël BARROT;2nd tour;27.0;25.29
78_3;EM;Béatrice PIRON;2nd tour;27.82;25.89
78_4;EM;Marie LEBEC;2nd tour;27.9;26.76
78_5;EM;Yaël BRAUN-PIVET;2nd tour;25.74;24.84
