circo;EXG;FG;PS;EELV;MODEM;UMP;FN
33_12;LAURENT DELAGE;MICHEL HILAIRE;MARTINE FAURE;DOMINIQUE JOBARD;;YVES D'AMECOURT;GONZAGUE MALHERBE
34_1;FRANCIS VIGUIE;FRÉDÉRIQUE THONNAT;CYRIL MEUNIER;JEAN-LOUIS ROUMEGAS;MARTINE PLANE;CHRISTIAN JEANJEAN;ALAIN JAMET
34_2;MARTINE GRANIER;RENÉ REVOL;ANNE-YVONNE LE DAIN;MUSTAPHA MAJDOUL;ALAIN PRIVAT;ANNE BRISSAUD;YAMINA VION
34_3;THOMAS BALENGHIEN;ROBERT TRINQUIER;FANNY DOMBRE COSTE;MARIE-NOËLLE SIBIEUDE;AURÉLIE ARMAND;JEAN-PIERRE GRAND;JEAN-LUC BOUCHEREAU
34_4;VALÉRIE CABANNE;YVAN GARCIA;FRÉDÉRIC ROIG;NADJA FLANK;HADJ MADANI;ROBERT LECOU;CHRISTIAN CLAUSIER
34_5;MORGANE LACHIVER;MYRIAM HUBERT;KLÉBER MESQUIDA;MICHÈLE COMPS;CAROLINE LARMEE;CATHERINE CECCHI;CONSTANCE CALANDRI
34_6;LAURENT GILHODES;PAUL BARBAZANGE;DOLORES ROQUE;MAGALI MANUS;FRANÇOIS PERNIOLA;ELIE ABOUD;GUILLAUME VOUZELLAUD
34_7;BRIGITTE MOULIN;SÉBASTIEN ANDRAL;SÉBASTIEN DENAJA;ADELINE BERARD;SERGE JENE;GILLES D'ETTORE;FRANCE JAMET
34_8;SOPHIE BIETRIX;MICHEL PASSET;CHRISTIAN ASSAF;FRANÇOIS BARAIZE;;ARNAUD JULIEN;ALEXANDRA POUCET
34_9;AGNÈS OLINET;ANNIE-CLAUDE OTTAN;PATRICK VIGNAL;MICHEL DE LAGAUSIE;;STÉPHAN ROSSIGNOL;JOSEPH CASTANO
35_1;LÉA SOULARD;ERIC BERROCHE;MARIE-ANNE CHAPDELAINE;SOLÈNE RAUDE;GRÉGOIRE LE BLOND;KARIN LEROUX;GENEVIÈVE QUILLET
35_2;FLORENCE DEFRANCE;FRANÇOISE RUBION;NATHALIE APPERE;GILLES NICOLAS;;BERTRAND PLOUVIER;PASCAL CRAMBERT
35_3;BENOIT GUILLET;YANNICK NADESAN;FRANÇOIS ANDRE;YVES SAUVAGE;;PHILIPPE ROUAULT;NIDIA BOUDIER
35_4;GWENNOLA ERMEL;MICHÈLE GILLET;JEAN-RENÉ MARSAC;;DOMINIQUE JULAUD;VÉRONIQUE WESTER-OUISSE;CHRISTIAN RESSORT
35_5;FRANÇOISE HAMARD;JOËLLE COUILLANDRE;ANNE-LAURE LORAY;GAËLLE ROUGIER;JEAN-MARC LECERF;ISABELLE LE CALLENNEC;NADÈGE ANDRE
35_6;FRANÇOISE DUBU;JEAN-FRANÇOIS GARNIER;LOUIS FEUVRIER;AGATHE REMOUE;THIERRY BENOIT;THIERRY DEROLLEZ;ELISABETH DROUIN
35_7;PIERRE CHAPA;SOLENN HALLOU;ISABELLE THOMAS;CAROLE LE BECHEC;JEAN-FRANCIS RICHEUX;GILLES LURTON;PASCAL CLEMENT
35_8;JEAN-PATRICK MULLER;DENIS KERMEN;MARCEL ROGEMONT;MATTHIEU THEURIER;;BRUNO CHAVANAT;CÉDRIC ABDILLA
36_1;ELISABETH MILON;LILIANE BLANC;JEAN-PAUL CHANTEGUET;CAROLINE GAUTHIER;STÈVE SORIA;FRANÇOIS JOLIVET;VIRGINIE SULLY
36_2;CATHERINE MOREAU;JACQUES PALLAS;ISABELLE BRUNEAU;RAPHAËL TILLIE;DORIAN DA SILVA;NICOLAS FORISSIER;MATTHIEU COLOMBIER
37_1;MUNIA EWANJE EPEE;JOSETTE BLANCHET;JEAN-PATRICK GILLE;CAROLINE LARPENT;FANNY SIOUVILLE;GUILLAUME PELTIER;FABIEN-EMMANUEL POUSSARD
37_2;DELPHINE LAUBU;MICHEL COSNIER;ISABELLE GAUDRON;CHRISTOPHE ROSSIGNOL;;CLAUDE GREFF;GILLES GODEFROY
37_3;PATRICK BOURBON;MARTINE BELNOUE;MARISOL TOURAINE;MATHILDE GRALEPOIS;PASCALE TREMBLAY;JACQUES BARBIER;CATHERINE COSTA
37_4;JEAN-JACQUES PRODHOMME;PATRICK FRESNE;LAURENT BAUMEL;GILLES DESCROIX;PHILIPPE OLIVEIRA;HERVÉ NOVELLI;EMILIE THELOT
37_5;MARIE-CLAUDE NEVEU;FRANÇOISE LANGLADE;CLAUDE ROIRON;BERNADETTE LASSUS;PHILIPPE LACROIX;PHILIPPE BRIAND;VÉRONIQUE PEAN
38_1;CÉCILE ALLIBE;ALAIN DONTAINE;GENEVIÈVE FIORASO;ERIC PIOLLE;PHILIPPE DE LONGEVIALLE;JEAN-CLAUDE PEYRIN;MIREILLE D'ORNANO
38_2;FABIEN GIVERNAUD;RENZO SULLI;MICHEL ISSINDOU;MARYSE OUDJAOUDI;;MAGALIE VICENTE;MARIE DE KERVEREGUIN
38_3;MAZDAK KAFAI;PATRICE VOIR;MICHEL DESTOT;YANN MONGABURU;MARIE-CLAIRE NEPI;NATHALIE BERANGER;JEAN-RENÉ BREUIL
38_4;YVON SELLIER;LAURENT JADEAU;MARIE-NOËLLE BATTISTEL;ANNE PARLANGE;;CÉCILIA DURIEU;JEANNINE LATREILLE
38_5;FAOUZIA PERRIN;BRUNO DIAZ;FRANÇOIS BROTTES;VINCENT GAY;MARC LIZERE;MICHEL BERNARD;JEAN MARIA
38_6;DOMINIQUE PONSARD;FRÉDÉRIQUE PENAVAIRE;MICHÈLE CORBIN;ANNE DEVERCHERE;;ALAIN MOYNE-BRESSAND;BERTRAND MARIE
38_7;BRUNO PERRODIN;PATRICK BEDIAT;DIDIER RAMBAUD;MYRIAM LAIDOUNI-DENIS;GILBERT CARLE;JEAN-PIERRE BARBIER;ROBERT ARLAUD
38_8;JACQUES LACAILLE;ANDRÉ MONDANGE;ERWANN BINET;JACQUES JURY;MICHÈLE CEDRIN;JACQUES REMILLER;MARIE GUIMAR
38_9;ALICE PELLETIER;CHRISTIAN TOILLIER;;MICHÈLE BONNETON;MARIE-LIANE DESCHIZEAUX;JULIEN POLAT;NADINE GARCIN
38_10;CHRISTIANNE BORDES;NICOLE VARAS;JOËLLE HUILLIER;PATRICIA ANDRE-CONSTANTIN;DENIS THEVENON;VINCENT CHRIQUI;ANTONIN SABATIER
39_1;ALINE CARTON;NELLY FATON;DANIELLE BRULEBOIS;PATRICE BAU;;JACQUES PELISSARD;JEAN-PIERRE MOUGET
39_2;ALAIN LORENZATI;FRANCIS LAHAUT;RAPHAËL PERRIN;DOMINIQUE BIICHLÉ;;MARIE-CHRISTINE DALLOZ;JOSETTE DEVARIEUX
39_3;NICOLAS GOMET;PATRICK VIVERGE;SYLVIE LAROCHE;AKO HAMDAOUI;MARIE-THÉRÈSE BROCARD;JEAN-MARIE SERMIER;GHISLAINE FRAISSE
40_1;CHRISTIAN SOURBES;ALAIN BACHE;ALAIN VIDALIES;LAURENCE MOTOMAN;PHILIPPE CAZAUBON;ALAIN DUDON;ARNAUD LAGRAVE
40_2;PASCAL CASTERA;JEAN-MARC LESPADE;JEAN-PIERRE DUFAU;ALAIN GODOT;PHILIPPE MOUHEL;JULIEN DUBOIS;LAURENCE MONTEIL
40_3;MARC ISIDORI;ISABELLE FIGUERES;HENRI EMMANUELLI;BERNADETTE CAMPAGNE-IBARCQ;HENRY-LOUIS PICQUET;MARIA-FILOMÉNA LABASTE;JULIEN ANTUNES
41_1;MARIE-ANNE CLEMENT;LAURIANNE DELAPORTE;DENYS ROBILIARD;FRANÇOIS THIOLLET;;NICOLAS PERRUCHOT;MICHEL CHASSIER
41_2;FLAVIA VERRI;BERNADETTE LEMENAGER;TANIA ANDRE;SYLVAINE LAVAUD-RAVION;LOUIS DE REDON;PATRICE MARTIN-LALANDE;TATIANA GABILLAS
41_3;CLAUDE LAMY;PATRICK CALLU;KARINE GLOANEC MAURIN;FLORENT GROSPART;;MAURICE LEROY;JEAN-YVES NARQUIN
42_1;CLÉMENTINE VIGNAL;MARYSE BIANCHIN;RÉGIS JUANICO;DOMINIQUE JOUBERT;GILLES ARTIGUES;ERIC BERLIVET;RAPHAËLLE JEANSON
42_2;DENIS RIVIER;VANESSA PECEL;JEAN-LOUIS GAGNAIRE;NOÉLIE BUISSON-DESCOMBES;;ALEXANDRA CUSTODIO;FRANCIS RONGIER
42_3;ANDRÉ MOULIN;VINCENT BONY;PHILIPPE KIZIRIAN;ALAIN BARBASSO;;FRANÇOIS ROCHEBLOINE;SÉVERINE BRUN
42_4;ODILE COTE;CHRISTOPHE FAVERJON;JEAN-CLAUDE REYMOND;LÉLA BENCHARIF;MICHÈLE PEREZ;DINO CINIERI;ROBERT HEYRAUD
42_5;GÉRARD DUMAS;JEAN-PAUL LOIRE;LAURE DEROCHE;SERGE ALIBERT;JEAN-FRANÇOIS VIAL;YVES NICOLIN;MICHÈLE AGRAFEIL
42_6;CÉCILE MAISONNETTE;NICOLE BIETRIX;LILIANE FAURE;LAURÈNE MARTIN;;PAUL SALEN;SOPHIE ROBERT
43_1;MAX CHAMBON;YVES PRAT;GUY VOCANSON;LUCIEN SEYTRE;ANNE-AUDREY PERRIN-PATURAL;LAURENT WAUQUIEZ;PIERRE CHEYNET
43_2;ANNIE BOUBAULT;MICHELLE CHAUMET;ANDRÉ CHAPAVEIRE;CELLINE GACON;;JEAN-PIERRE VIGIER;MARIA RAIA
44_1;CLAUDINE JEGOUREL;AYMERIC SEASSAU;CHRISTINE MEYER;FRANÇOIS DE RUGY;;FRANÇOIS PINTE;GUYLÈNE FRIARD
44_2;SANDRA CORMIER;ELIANA DELISANTE;MARIE-FRANÇOISE CLERGEAU;PASCALE CHIRON;YVON CHOTARD;LAURENCE GARNIER;MICHEL LOMBARDO
44_3;BRUNO HERVE;MARIE-ANNICK BENATRE;JEAN-MARC AYRAULT;JEAN-FRANÇOIS TALLIO;EMILIA NETO;ANNICK LE RIDANT;CHRISTIAN BOUCHET
44_4;PAUL RAYNAUD;MIREILLE PERNOT;DOMINIQUE RAIMBOURG;DIDIER QUERAUD;;ISABELLE MERAND GAUTHIER;SYLVIE CARAYOL
44_5;PATRICIA PEILLON;FRANÇOISE THIBAUD MESLE;MICHEL MENARD;GENEVIÈVE LEBOUTEUX;MAURICE PERRION;NOURA MOREAU;ANNE ETOURNEAU
44_6;CHRISTOPHE HELOU;LAURENT DAVID;YVES DANIEL;YVES AUBRY;HERVÉ MADOUAS;MICHEL HUNAULT;XAVIER RENAUD
44_7;MARIE-FRANCE BELIN;VÉRONIQUE MAHE;HÉLÈNE CHALLIER;LAURENT DUBOST;PATRICIA GALLERNEAU;CHRISTOPHE PRIOU;ANNIE-CHANTAL DURAND
44_8;THIERRY BRULAVOINE;YVON RENEVOT;MARIE-ODILE BOUILLE;PASCALE HAMEAU;XAVIER BRUCKERT;MARYVONNE LE LIBOUX;JEAN-CLAUDE BLANCHARD
44_9;ANNIE HERVO;GAUTHIER LORTHIOIS;MONIQUE RABIN;MAHEL COPPEY;PHILIPPE FINTONI;PHILIPPE BOENNEC;MARGUERITE LUSSAUD
44_10;MARTINE GUILBERT;PEDRO MAIA;SOPHIE ERRANTE;FRANCK NICOLON;ALAN CORAUD;LAURENT DEJOIE;HERVÉ LECA
45_1;ROBERT COUTURE;CÉCILE HUBERT;IBRAHIM CHOUCAIR;JEAN-PHILIPPE GRAND;TAHAR BEN CHAABANE;OLIVIER CARRE;DOMINIQUE SANGUINETTI
45_2;MARIE-PIERRE REGNAULT;SYLVIE DUBOIS;CHRISTOPHE CHAILLOU;MOÏSETTE CROSNIER;GUY TORREILLES;SERGE GROUARD;PHILIPPE LECOQ
45_3;ELSA DE MORAIS;SYLVIE VAUVILLIERS;PHILIPPE FROMENT;SOPHIE HECQUET;;CLAUDE DE GANAY;ETIENNE TRAPP
45_4;DOMINIQUE CLERGUE;FRANCK DEMAUMONT;JALILA GABORET;CHANTAL BALLIN;;JEAN-PIERRE DOOR;BERNARD CHAUVET
45_5;CÉLINE SOTTEJEAU;KARINE PERCHERON;CAROLE CANETTE;DOMINIQUE CLAISSE;ARLETTE GOUNOT;MARIANNE DUBOIS;JEANNE BEAULIER
45_6;EDDY TALBOT;OLIVIER HICTER;VALÉRIE CORRE;SYLVIE CASTRO;LAURENCE DUVAL;CHARLES-ERIC LEMAIGNEN;ELIZABETH ALAGNOUX
46_1;PATRICK BELLOIS;SERGE LAYBROS;DOMINIQUE ORLIAC;FRANCESCO TESTA;MICHEL ROUMEGOUX;AURELIEN PRADIE;ELIZABETH LAPIERRE
46_2;GERARD BARDE;BERNADETTE BALOCHE;JEAN LAUNAY;FLORENCE GODEFROY DEMOMBYNES;JEAN-CLAUDE TASSAIN;ELLEN DAUSSE;JULIA PLANE
47_1;VLADIMIR BELMON;PATRICE DUFAU;LUCETTE LOUSTEAU;MARYSE COMBRES;BRUNO DUBOS;JEAN DIONIS DU SEJOUR;HÉLÈNE COLLET
47_2;ALAN CATHELINE;RAYMOND GIRARDI;MATTHIAS FEKL;PIERRE SALANE;;MICHEL DIEFENBACHER;ETIENNE BOUSQUET-CASSAGNE
47_3;LUC CHEVILLOTTE;MARIE-HÉLÈNE LOISEAU;JÉRÔME CAHUZAC;LIONEL FEUILLAS;;JEAN-LOUIS COSTES;CATHERINE MARTIN
48_1;JEAN-LUC GALIBERT;GUY GALVIER;SOPHIE PANTEL;CLAUDE LHUILLIER;;PIERRE MOREL-A-L'HUISSIER;JEAN-FRANÇOIS PARDIGON
49_1;JEAN-LUC GODET;ISABELLE LELIEVRE;LUC BELOT;JAMILA DELMOTTE;LOUIS-MARIE BACHELOT;PAUL JEANNETEAU;GAËTAN DIRAND
49_2;PHILIPPE LEBRUN;BORIS BATTAIS;MARC GOUA;BRUNO BARON;FRANÇOIS CAILLEAU;MAXENCE HENRY;MICHEL SCHAEFFER
49_3;BRIGITTE BELLANGER;ALAIN PAGANO;JEAN-MICHEL MARCHAND;NATHALIE BENARD;CLAUDE BERNARD;JEAN-CHARLES TAUGOURDEAU;JEAN-FRANÇOIS DE BRUGIERE
49_4;LOLA DUVEAU;GAËLLE CHARDON;SOPHIE SARAMITO;CATHERINE BRAUER;;MICHEL PIRON;MONIQUE LIEUMONT BRIAND
49_5;DENIS PLARD;AURÉLIE MONROUZEAU;LAURENCE ADRIEN-BIGEON;PIERRE CHALOPIN;XAVIER COIFFARD;GILLES BOURDOULEIX;DANIELLE DURET
49_6;CÉLINE L'HUILLIER;MARC GICQUEL;SERGE BARDY;MARIANNE PRODHOMME;ALAIN PICARD;HERVÉ DE CHARETTE;OLIVIER DOUAY
49_7;DIDIER TESTU;STÉPHANIE DUPEYROUX;SILVIA CAMARA-TOMBINI;ROMAIN LAVEAU;CHRISTIAN BARON;MARC LAFFINEUR;MARIE COURTIN
50_1;MICHÈLE POHYER;ISABELLE LE CANN;CHRISTINE LE COZ;JÉRÔME VIRLOUVET;;PHILIPPE GOSSELIN;DENIS FERET
50_2;LAURENCE DERREY;PATRICE CELLA;GÉRARD SAURE;JEAN LEGUELINEL;BERNARD TREHET;GUÉNHAËL HUET;MARIE-FRANÇOISE KURDZIEL
50_3;CHANTAL GIRRES;CHRISTIAN DUVINAGE;STÉPHANE TRAVERT;MARINE LEMASSON;GABRIEL DAUBE;ALAIN COUSIN;CARMEN MASSON
50_4;NATHALIE MENARD;RALPH LEJAMTEL;BERNARD CAZENEUVE;CATHERINE MARREY;CYRIL BOURDON;DAVID MARGUERITTE;JEAN-JACQUES NOEL
51_1;VINCENT VARLET;CÉDRIC LATTUADA;SABRINA GHALLAL;STÉPHANE JOLY;;ARNAUD ROBINET;THIERRY BESSON
51_2;THOMAS ROSE;FRANCOISE GEORGES;ERIC QUENARD;NADINE CORTIAL;;CATHERINE VAUTRIN-PENNAFORTE;PASCALE EVANNO
51_3;MICHEL MARTIN;JEAN-PIERRE LANGLET;JEAN-PAUL ANGERS;ERIC LOISELET;;PHILIPPE MARTIN;DAVID MASCRE
51_4;JULIEN DICHANT;DOMINIQUE VATEL;RUDY NAMUR;DOMINIQUE DETERM;;BENOIST APPARU;EDITH ERRE
51_5;DAMIEN MONDOT;NATHALIE MAYANCE;MARIANE DOREMUS;SYLVIE BOUCHE;;CHARLES DE COURSON;PASCAL ERRE
52_1;CHARLOTTE CORMERAIS;CÉLINE SUREL;;PATRICIA ANDRIOT;JEAN LIPP;LUC CHATEL;THOMAS SUILLOT
52_2;SYLVAIN DEMAY;DANIEL MONNIER;DENIS MAILLOT;LAURE GROSHEITSCH;;FRANÇOIS CORNUT-GENTILLE;PAUL-MARIE COUTEAUX
53_1;EMILE SEIGNEUR;AURÉLIEN GUILLOT;GUILLAUME GAROT;ISABELLE KOZLOWSKI;ISABELLE DUTERTRE;SAMIA SOULTANI-VIGNERON;MARIE-ALIX LE COMTE
53_2;MARTINE AMELIN;JULIE COCHIN;MARIE-NOËLLE TRIBONDEAU;CLAUDE GOURVIL;ELISABETH DOINEAU;GUILLAUME CHEVROLLIER;JOCELYNE MALLEZ
53_3;ANNE REMINIAC;HERVÉ EON;;CHRISTIAN QUINTON;ALEXANDRA LEULIETTE;YANNICK FAVENNEC;BRUNO DE LA MORINIERE
54_1;SÉBASTIEN BORGES;MATHIEU PIOTROWSKI;CHAYNESSE KHIROUNI;CHRISTOPHE PIERRE;DANIÈLE NOËL;LAURENT HENART;NATACHA WASZEZYNSKI
54_2;JOE LABAT;PIERRE HANEGREEFS;HERVÉ FERON;PATRICIA CARTIGNY;MARC SAINT-DENIS;VALÉRIE ROSSO-DEBORD;NATHALIE REPUSSEAU
54_3;ANNICK JOLIVET;SERGE DE CARLI;CHRISTIAN ECKERT;MICHEL TESTI;;ETIENNE MANGEOT;AUDREY IOZZO
54_4;PIERRE NORDEMANN;CLAUDE BLAQUE;;MARIE-NEIGE HOUCHARD;;JACQUES LAMBLIN;PASCAL BAUCHE
54_5;MICHEL SIMONIN;ANNIE LEVI-CYFERMAN;DOMINIQUE POTIER;JACQUELINE FONTAINE;HERVÉ BROSSEAU;NADINE MORANO;OLIVIER VINQUANT
54_6;CHRISTIAN MINARY;JULIE MEUNIER;JEAN-YVES LE DEAUT;AHMED REMAOUN;;STÉPHANE PIZELLE;JEAN-LUC MANOURY
55_1;CLAUDE KAISER;MÉLANIE TSAGOURIS;DIANA ANDRE;JEAN-MARC FLEURY;;BERTRAND PANCHER;DOMINIQUE BILDE
55_2;MARCEL PERIN;ERIC BERNARDI;JEAN-LOUIS DUMONT;DOMINIQUE RONGA;;CLAUDE LEONARD;GILBERT PROT
56_1;PATRICE CRUNIL;ANNICK MONOT;HERVÉ PELLOIS;AKIM KHOUNCHEF;GILLES DUFEIGNEUX;FRANÇOIS GOULARD;BRUNO PETIT
56_2;ANNICK COATEVAL;ROLLAND LE SAUCE;NATHALIE LE MAGUERESSE;ANNE-MARIE BOUDOU;;PHILIPPE LE RAY;CLAUDE LE NY
56_3;CÉDRIC CADORET;CHRISTIAN DANIEL;JEAN-PIERRE LE ROCH;ANDRÉ LOCUSSOL;;YVES BLEUNVEN;GISÈLE BURBAN
56_4;JEAN-LOUIS AMISSE;ALAIN LE GUENNEC;CHARLES-EDOUARD FICHET;PAUL MOLAC;JEAN-LUC BLEHER;FRANÇOIS GUEANT;JEAN-PAUL FELIX
56_5;CYRIL LE BAIL;JOËL GALLAIS;GWENDAL ROUILLARD;JEAN-PAUL AUCHER;FLORENCE DONATO-LEHUEDE;BRIGITTE MÉLIN;JOËLLE BERGERON
56_6;GWÉNAËLLE COATEVAL;GÉRARD PERRON;PHILIPPE NOGUES;CLAIRE DUVAL;;JACQUES LE NAY;ULLA PAULAT
57_1;CÉCILE LOPEZ;PATRICK ABATE;AURÉLIE FILIPPETTI;JULIEN VICK;CHRISTINE SINGER;JULIEN FREYBURGER;DELPHINE HAFFNER
57_2;ALBERT DAL POZZOLO;DANIELLE BORI;JEAN-MICHEL TOULOUZE;SOPHIE REIMERINGER;MARJORIE GOUJON;DENIS JACQUAT;THIERRY GOURLOT
57_3;GAËL DIAFERIA;JACQUES MARECHAL;CHRISTIANE PALLEZ;CLAUDINE URRUTY;AGNÈS MIGAUD;MARIE-JO ZIMMERMANN;FRANÇOISE GROLET
57_4;ANNELYSE JACQUEL;ESTELLE GALLOT;JEAN-YVES SCHAFF;CORINNE MORGEN;;ALAIN MARTY;CASSANDRE FRISTOT
57_5;CARMEN EICHERT;ALPHONSE WALTER;ANGÈLE DUFFLO;MICHEL UHRING;;CÉLESTE LETT;PHILIPPE-MARCEL ARMAND
57_6;LOLA LEGRAND;;LAURENT KALINOWSKI;PASCAL SCHUSTER;FRANCIS SCHMITT;PIERRE LANG;FLORIAN PHILIPPOT
57_7;CATHERINE LAINEZ;;PAOLA ZANETTI;FABIENNE SCHNITZLER;;ANDRÉ WOJCIECHOWSKI;NATHALIE PIGEOT
57_8;BERNARD THIERRY;PATRICK PERON;MICHEL LIEBGOTT;PASCAL DIDIER;FRÉDÉRIC DI EGIDIO;SYLVIE THOMAS-JAMINET;FABIEN ENGELMANN
57_9;GUY MAURHOFER;ANNIE HACKENHEIMER;BERTRAND MERTZ;ELIANE ROMANI;;ANNE GROMMERCH-BRANDENBURGER;ELISABETH BARGET
58_1;GENEVIÈVE LEMOINE;BERNARD DUBRESSON;MARTINE CARRILLON-COUVREUR;WILFRID SEJEAU;XAVIER RICHARD;JEAN-LUC GAUTHIER;VALÉRIE RENARD
58_2;DOMINIQUE DUPUIS;MONIQUE CHOQUEL;CHRISTIAN PAUL;ANAIS HUBERT;;MICHÈLE BOUCOMONT;MARCEL STEPHAN
59_1;ALESSANDRO DI GIUSEPPE;JOSEPH DEMEULEMEESTER;BERNARD ROMAN;ELISE JEANNE;YVES DELAHAIE;HERVÉ-MARIE MORELLE;ERIC DILLIES
59_2;PASCALE ROUGEE;UGO BERNALICIS;AUDREY LINKENHELD;ERIC QUIQUET;;CAROLINE BOISARD-VANNIER;THÉRÈSE LESAFFRE
59_3;MARIE-CLAUDE RONDEAUX;FATIHA KACIMI;RÉMI PAUVROS;DOMINIQUE LABIS;RICHARD MEUNIER;CHRISTINE MARIN;LOUIS-ARMAND DE BEJARRY
59_4;NATHALIE BAUDRIN;EDITH GABRELLE;HÉLÈNE PARRA;VINCIANE FABER;;MARC-PHILIPPE DAUBRESSE;STÉPHANIE KOCA
59_5;XAVIER LAPIERRE;BERNARD DEBREU;ALAIN CACHEUX;FRANCINE HERBAUT DAUPTAIN;;SÉBASTIEN HUYGHE;SERGE CATTELIN
59_6;SARAH-LOUISE SARDOU;NADINE SAVARY;ANGÉLIQUE DEFFONTAINE;MARYSE FABER-ROSSI;;THIERRY LAZARO;ANNIE LEMAHIEU
59_7;SABINE RYELANDT;ISABELLE VANSPEYBROECK;MARJOLAINE PIERRAT-FERAILLE;CLAUDINE DEBOVE;GEORGES DUVAL;FRANCIS VERCAMER;GIANNI MELI
59_8;FRANÇOISE DELBARRE;ERIC MOUVEAUX;DOMINIQUE BAERT;SLIMANE TIR;;SALIMA SAA;FRANÇOISE COOLZAET
59_9;MARYLINE MOUCHOUX;MARTINE ROUSSEL-VANHEE;JACQUES MUTEZ;THÉRÈSE KOZLOWSKI-MARESCAUX;MARIETTE BONTINCK;BERNARD GERARD;JEAN-FRANÇOIS BLOC
59_10;CHRISTOPHE CHARLON;DOMINIQUE DE CLERCQ DANEL;ZINA DAHMANI;BERNARD DESPIERRE;FRÉDÉRIC LEFEBVRE;GÉRALD DARMANIN;JEAN-RICHARD SULZER
59_11;FATIMA ABDELLAOUI;ARNAUD MARIE;YVES DURAND;LISE DALEUX;YANN FOURNIER;THIERRY PAUCHET;NATHALIE ACS
59_12;JEAN-CHARLES COURNUT;BERNARD BAUDOUX;CHRISTIAN BATAILLE;LAURENT BERNIER;;JOËL WILMOTTE;ANNE-SOPHIE LEVEQUE
59_13;DOMINIQUE WAILLY;DAVID THIEBAUT;CHRISTIAN HUTIN;MARCEL LEFEVRE;PIERRE YANA;FRANÇOIS ROSSEEL;PHILIPPE EYMERY
59_14;DAVID HAILLANT;DELPHINE CASTELLI;JEAN SCHEPMAN;JOSÉ SZYMANIAK;MARTINE BEURAERT;JEAN-PIERRE DECOOL;JEAN-FRANÇOIS VENDEVILLE
59_15;MARIE-FRANCE CLAEYSSEN;BÉATRICE VEIT-TORREZ;JEAN-PIERRE ALLOSSERY;THIERRY WILLAEY;;JEAN-PIERRE BATAILLE;PASCAL PRINCE
59_16;ROGER MARIE;JEAN-JACQUES CANDELIER;CHRISTIAN ENTEM;ADRIAN HILDEBRANDT;LAURENT DESMONS;MIREILLE MORELLE;MARIE BOCQUET
59_17;FLORENCE L'HOSTIS;MARC DOLEZ;MONIQUE AMGHAR;LUCILE WACHEUX;BRUNO VANDEVILLE;BRUNO BUFQUIN;CHANTAL BOJANEK
59_18;AGNÈS RISBEC;BRIGITTE LEFEBVRE;MARTINE FILLEUL;PIERRE LAPERELLE;;FRANÇOIS-XAVIER VILLAIN;SAMUEL LENCLUD
59_19;JACKY BOUCOT;MICHEL LEFEBVRE;ANNE-LISE DUFOUR-TONINI;MANUEL HERBOMEL;ANTONIO NOTARIANNI;OLIVIER CAPRON;CATHERINE ROUVIER
59_20;BRUNO LECLERCQ;ALAIN BOCQUET;SÉBASTIEN URGU;MICHEL HECQUET;;MONIQUE HUON;NATHALIE BETEGNIES
59_21;ERIC PECQUEUR;FABIEN THIEME;;SANDRINE ROUSSEAU;;JEAN-LOUIS BORLOO;GUY CANNIE
60_1;FRANÇOIS LAPORTE;MARIE-LAURE DARRIGADE;BÉATRICE LEJEUNE;SÉBASTIEN DE GOUY;;OLIVIER DASSAULT;SANDRINE LEROY
60_2;RENÉE POTCHTOVIK;PIERRE RIPART;SYLVIE HOUSSIN;AMANDINE HERBAUT;SANDRINE MAKAREWICZ;JEAN-FRANÇOIS MANCEL;FLORENCE ITALIANI
60_3;ROLAND SZPIRKO;JEAN-PIERRE BOSINO;MICHEL FRANCAIX;ISABELLE MAUPIN;BRAHIM BELMHAND;MARIE-CHRISTINE SALMONA;KARIM OUCHIKH
60_4;CATHERINE CHEMINEAU;SÉVERINE BERGER;;PATRICK CANON;ALEXANDRE BABILOTTE-BASKE;ERIC WOERTH;MYLÈNE TROSZCYNSKI
60_5;HÉLÈNE BECHERINI;GÉRALDINE MINET;FABRICE DALONGEVILLE;LUC LEBRUN;RONAN TANGUY;LUCIEN DEGAUCHY;JEAN-PAUL LETOURNEUR
60_6;JEAN-MARC ISKIN;PATRICE CARVALHO;JEAN-PIERRE COSSIN;KARINE DUTEIL;FRANÇOIS MENARD;FRANÇOIS-MICHEL GONNOT;MICHEL GUINIOT
60_7;SÉBASTIEN OLLIER;LOÏC PEN;CLAUDE GEWERC;PATRICIA DORE;LUC SOISSON;EDOUARD COURTIAL;ANDRÉ FOUCHARD
61_1;CHRISTINE COULON;GÉRARD POMMIER;JOAQUIM PUEYO;MARTINE ROUSSEL;;BERTRAND DENIAUD;LIONEL STIEFEL
61_2;CHANTAL FLORES;JEAN-CLAUDE MARIE;SOUAD EL MANAA;;JEAN SELLIER;VÉRONIQUE LOUWAGIE;PATRICK FOURNY
61_3;GRÉGORY CORDURIE;JEAN CHATELAIS;YVES GOASDOUE;OMAR AYAD;ODILE LECROSNIER;JÉRÔME NURY;FRANCINE LAVANRY
62_1;DOMINIQUE DURAND;XAVIER SCHMIDT;JEAN-JACQUES COTTEL;SERGE RAVAUX;BRUNO DUVERGE;MICHEL PETIT;JEAN-PIERRE D'HOLLANDER
62_2;PASCALE TILLIER;SANDRA DUSAUTOIR-DIONET;JACQUELINE MAQUET;LAURE OLIVIER;;JEAN-MARIE PRESTAUX;DALILA DECOBERT
