circo;EXG;FG;PS;EELV;MODEM;UMP;FN
76_1;JOSÉ MARIN;CARINE GOUPIL;VALÉRIE FOURNEYRON;STÉPHANE MARTOT;DIDIER POLIN;CYRILLE GRENOT;GUILLAUME PENNELLE
76_2;CATHERINE SAILLARD;CHRISTIAN GAUTHIER;CHANTAL MENARD;VÉRONIQUE MOINET;ALAIN TERNISIEN;FRANÇOISE GUEGOT;ELIZABETH LALANNE DE HAUT
76_3;CHRISTINE POUPIN;HUBERT WULFRANC;LUCE PANE;JEAN-PIERRE LANCRY;BRAHIM CHARAFI;BRIGITTE BRIERE;JACQUES GAILLARD
76_4;REGIS LOUAIL;PATRICE DUPRAY;LAURENT FABIUS;CLAIRE LUTZ;;FRANCK MEYER;NICOLAS BAY
76_5;CHRISTOPHE POUSSIN;VALÉRIE LEBRUN;CHRISTOPHE BOUILLON;MARIE-FRANCE PERSIL;;VALÉRIE KARMERE-LOISEL;THIMOTHÉE HOUSSIN
76_6;MICHELLE PETITEVILLE;SÉBASTIEN JUMEL;SANDRINE HUREL;FRÉDÉRIC WEISZ;SERGE RENAUDIN;MICHEL LEJEUNE;SOPHIE PETEL
76_7;MARIE-HÉLÈNE DUVERGER;NATHALIE NAIL;LAURENT LOGIOU;MARIE-HÉLÈNE BOILEAU;;EDOUARD PHILIPPE;ANGÉLIQUE IDCZAK
76_8;DANIEL DIEUDONNE;JEAN-PAUL LECOQ;CATHERINE TROALLIC;PIERRE DIEULAFAIT;;AGNÈS CANAYER;PHILIPPE FOUCHE-SAILLENFEST
76_9;MAGALI CAUCHOIS;CÉLINE BRULIN;ESTELLE GRELIER;ALAIN PLANTAZ;CÉDRIC LECARPENTIER;DANIEL FIDELIN;GENEVIÈVE SALVISBERG
76_10;ERIC MOISAN;ALINE FLAUX;DOMINIQUE CHAUVEL;JOLANTA AVRIL;;ALFRED TRASSY-PAILLOGUES;ISABELLE GILBERT
77_1;JEAN-LOUIS GUERRIER;THOMAS GUYARD;LIONEL WALKER;BÉNÉDICTE MONVILLE-DE CECCO;;JEAN-CLAUDE MIGNON;BÉATRICE ROULLAUD
77_2;VIVIANE MOGUELET;DAVID ALLAERT;ROSELINE SARKISSIAN;LILIANE PAYS;ISABELLE PIOT;VALÉRIE LACROUTE;GILBERT BOUCLY
77_3;CATHERINE VAN CAUTEREN;JEAN-LUC MAILLOT;PATRICIA INGHELBRECHT;MARIE-LISE GEFFROY;;YVES JEGO;VIRGINIE RECHER
77_4;FRANÇOISE COTTIN;MARTINE MARCHAND;CÉLIA FIRMIN;FRÉDÉRIC CHAPELANT;THIERRY VALLEE;CHRISTIAN JACOB;PASCAL ABERLEN
77_5;FRANCK MAUREL;JEAN-FRANÇOIS DIRRINGER;ELISABETH ESCUYER;PHILIPPE CLUZEAU;;FRANCK RIESTER;ROBERT CLAUS
77_6;ANNIE RIEUPET;GUILLAUME QUERCY;;CAROLINE PINET;VICTOR-MANUEL NIUBO ANDREU;JEAN-FRANÇOIS COPE;MARIE-CHRISTINE ARNAUTU
77_7;GÉRARD DELIMARD;MARIANNE MARGATE;SOPHIE CERQUEIRA;ANTOINE PARODI;;YVES ALBARELLO;GEORGES MARTIN
77_8;FRÉDÉRIC RENAULT;MARIE-LUCE NEMO;EDUARDO RIHAN CYPEL;JULIE NOUVION;MICHEL GERES;CHANTAL BRUNEL;CHANTAL DELHAYE
77_9;FLORENCE WOODS;DELPHINE HEUCLIN;SÉBASTIEN PODEVYN;ROSE DE LA FUENTE;;GUY GEOFFROY;MARTINE CLEMENT-LAUNAY
77_10;GABRIELLE FRIJA;FRANK MOULY;EMERIC BREHIER;ALAIN LECLERC;MATHILDE QUILLERE;CLAUDINE THOMAS;FRANCINE HANTZBERG
77_11;ANNE DE LA TORRE;CATHERINE PETIT;OLIVIER FAURE;ODILE MONTAGNE;ANNE-LAURE BORDERIES;CATHY BISSONNIER;ANNE JACQMIN
78_1;SONIA ALLANI;EMILIE GERMAIN-VEDRENNE;ISABELLE THIS SAINT-JEAN;JEAN-LUC MANCEAU;JEAN-MARC COURSIN;FRANÇOIS DE MAZIERES;DOMINIQUE TOULY
78_2;DIDIER RINGOT;ESTHER PENOUILH;JACQUES LOLLIOZ;BRIGITTE BOUCHET;FLAVIEN BAZENET;VALÉRIE PÉCRESSE;FRANÇOIS SIMÉONI
78_3;OLIVIER AUGUSTIN;CATHERINE RADIX;FABIENNE GELGON-BILBAULT;ANNE-MARIE ROCHON;;HENRI GUAINO;SOPHIE SOUCHÈRE
78_4;LAURENCE HESSE;FLORENCE BIHET;SANDRINE DUBOS;JOSÉ TOMAS;ELISABETH SAUNIER;PIERRE LEQUILLER;LILIANE TARAUD
78_5;ALAIN LÉPICIER;ROGER AUDROIN;MICHÈLE VITRAC-POUZOULET;ROMAIN CHIARADIA;CAROLINE BOISNEL;JACQUES MYARD;ANNE DE FERLUC
78_6;MARIELLE SAULNIER;ALAIN OUTREMAN;EDDIE AÏT;KARINE PEIGER;FRANCK CHEFDOR;PIERRE MORANGE;JUDITH LOUVEL
