Dept_circo;Nom;Prenom;nuance;voix;%Voix/inscrit;%Voix/exprimes;Acces
44_8;LABARRE;PHILIPPE;EXG;297;0,37;0,65;N
44_9;HERVO;ANNIE;EXG;376;0,35;0,57;N
44_10;GUILBERT;MARTINE;EXG;364;0,34;0,54;N
45_1;TREPKA;CLAUDE;EXG;149;0,20;0,35;N
45_2;MEGDOUD;FARIDA;EXG;190;0,23;0,40;N
45_3;NAULIN;MICHEL;EXG;186;0,26;0,43;N
45_4;CLERGUE;DOMINIQUE;EXG;303;0,40;0,69;N
45_5;SOTTEJEAU;CÃ‰LINE;EXG;221;0,30;0,52;N
45_6;CHOQUEL;DAVID;EXG;189;0,27;0,47;N
46_1;HAAS;VINCENT;EXG;112;0,16;0,25;N
46_2;ISNARD;JEAN-MARC;EXG;141;0,22;0,34;N
47_1;QUANDALLE;FANNY;EXG;141;0,16;0,27;N
47_2;CATHELINE;ALAN;EXG;298;0,38;0,62;N
47_3;EL MARBATI;MOHAMED;EXG;127;0,17;0,26;N
48_1;SOUCHON;ANNIE;EXG;78;0,13;0,19;N
49_1;FALIGANT;MARIE-JOSÃ‰;EXG;246;0,30;0,53;N
49_2;BARBIER;DOMINIQUE;EXG;286;0,33;0,57;N
49_3;LARDEUX;HUBERT;EXG;167;0,24;0,41;N
49_4;LIZE;DIDIER;EXG;307;0,42;0,70;N
49_5;PLARD;DENIS;EXG;415;0,55;0,97;N
49_6;L'HUILLIER;CÃ‰LINE;EXG;366;0,40;0,68;N
49_7;TESTU;DIDIER;EXG;308;0,41;0,68;N
50_1;POHYER;MICHÃˆLE;EXG;259;0,30;0,51;N
50_2;DERREY;LAURENCE;EXG;288;0,30;0,50;N
50_3;TRAN;THI-MAI-TRAM;EXG;226;0,21;0,37;N
50_4;PELTRE;ISABELLE;EXG;204;0,23;0,41;N
51_1;VARLET;VINCENT;EXG;311;0,45;0,86;N
51_2;ROSE;THOMAS;EXG;216;0,30;0,54;N
51_3;HALIN;ANNE;EXG;279;0,34;0,63;N
51_4;DICHANT;JULIEN;EXG;259;0,32;0,58;N
51_5;BASTIEN;JOELLE;EXG;272;0,35;0,59;N
52_1;CORMERAIS;CHARLOTTE;EXG;302;0,41;0,67;N
52_2;DEMAY;SYLVAIN;EXG;239;0,37;0,65;N
53_1;SEIGNEUR;EMILE;EXG;214;0,29;0,50;N
53_2;AMELIN;MARTINE;EXG;299;0,39;0,67;N
53_3;CATHELINE;MARIE-PAULE;EXG;241;0,33;0,56;N
54_1;NIMSGERN;CHRISTIANE;EXG;207;0,26;0,46;N
54_2;MILLOT;BERNARD;EXG;78;0,11;0,19;N
54_3;JOLIVET;ANNICK;EXG;288;0,35;0,70;N
54_4;NORDEMANN;PIERRE;EXG;346;0,36;0,62;N
54_5;NEISS;GÃ‰RARD;EXG;213;0,28;0,46;N
54_6;MINARY;CHRISTIAN;EXG;368;0,42;0,79;N
55_1;FINOT;ERIC;EXG;278;0,35;0,59;N
55_2;PERIN;MARCEL;EXG;201;0,33;0,57;N
56_1;CRUNIL;PATRICE;EXG;131;0,13;0,21;N
56_2;COATEVAL;ANNICK;EXG;220;0,22;0,35;N
56_3;LAGREE;KELIG;EXG;316;0,36;0,59;N
56_4;AMISSE;JEAN-LOUIS;EXG;368;0,36;0,60;N
56_5;LE BAIL;CYRIL;EXG;370;0,46;0,81;N
56_6;COATEVAL;GWÃ‰NAÃ‹LLE;EXG;219;0,25;0,39;N
57_1;SCHMITT;FABIEN;EXG;182;0,21;0,39;N
57_2;DAL POZZOLO;ALBERT;EXG;148;0,19;0,37;N
57_3;HODARA;ETIENNE;EXG;180;0,24;0,45;N
57_4;JACQUEL;ANNELYSE;EXG;416;0,51;0,90;N
57_5;EICHERT;CARMEN;EXG;284;0,38;0,73;N
57_6;LEGRAND;LOLA;EXG;416;0,58;1,22;N
57_7;LAINEZ;CATHERINE;EXG;381;0,42;0,81;N
57_8;LEVECQUE;ANNE-CATHERINE;EXG;179;0,20;0,43;N
57_9;MAURHOFER;GUY;EXG;301;0,31;0,60;N
58_1;LEMOINE;GENEVIÃˆVE;EXG;341;0,44;0,79;N
58_2;DUPUIS;DOMINIQUE;EXG;374;0,43;0,73;N
59_1;BAUDRIN;NICOLE;EXG;164;0,27;0,56;N
59_2;ROUGEE;PASCALE;EXG;371;0,42;0,82;N
59_3;BAUDIN;GHISLAINE;EXG;215;0,22;0,43;N
59_4;BAUDRIN;NATHALIE;EXG;317;0,33;0,60;N
59_5;LAPIERRE;XAVIER;EXG;358;0,37;0,64;N
59_6;DUBOIS;LUC;EXG;202;0,24;0,39;N
59_7;RYELANDT;SABINE;EXG;243;0,34;0,65;N
59_8;DELBARRE;FRANÃ‡OISE;EXG;278;0,40;0,92;N
59_9;MOUCHOUX;MARYLINE;EXG;287;0,32;0,61;N
59_10;CHARLON;CHRISTOPHE;EXG;315;0,39;0,84;N
59_11;ABDELLAOUI;FATIMA;EXG;251;0,28;0,53;N
59_12;COURNUT;JEAN-CHARLES;EXG;357;0,38;0,69;N
59_13;WAILLY;DOMINIQUE;EXG;519;0,57;1,10;N
59_14;HAILLANT;DAVID;EXG;362;0,37;0,62;N
59_15;CLAEYSSEN;MARIE-FRANCE;EXG;395;0,41;0,69;N
59_16;MARIE;ROGER;EXG;377;0,45;0,84;N
59_17;L'HOSTIS;FLORENCE;EXG;319;0,42;0,79;N
59_18;RISBEC;AGNÃˆS;EXG;286;0,31;0,55;N
59_19;BOUCOT;JACKY;EXG;6185;7,82;14,76;N
59_20;LECLERCQ;BRUNO;EXG;255;0,32;0,64;N
59_21;PECQUEUR;ERIC;EXG;285;0,35;0,66;N
60_1;LAPORTE;FRANÃ‡OIS;EXG;386;0,48;0,80;N
60_2;POTCHTOVIK;RENÃ‰E;EXG;363;0,42;0,73;N
60_3;LEBRETON;ALAIN;EXG;100;0,14;0,26;N
60_4;CHEMINEAU;CATHERINE;EXG;382;0,42;0,75;N
60_5;BECHERINI;HÃ‰LÃˆNE;EXG;183;0,26;0,45;N
60_6;ISKIN;JEAN-MARC;EXG;387;0,52;0,90;N
60_7;OLLIER;SÃ‰BASTIEN;EXG;254;0,34;0,58;N
61_1;SECHET;CHARLOTTE;EXG;197;0,28;0,47;N
61_2;FLORES;CHANTAL;EXG;332;0,48;0,83;N
61_3;GAUTIER;ARNAUD;EXG;258;0,36;0,58;N
62_1;DURAND;DOMINIQUE;EXG;534;0,52;0,86;N
62_2;TILLIER;PASCALE;EXG;304;0,36;0,61;N
62_3;DARRAS;MICHEL;EXG;582;0,67;1,28;N
62_4;MACQUET;PATRICK;EXG;345;0,39;0,65;N
62_5;FOURNIER;NICOLAS;EXG;500;0,56;1,01;N
62_6;MAGNIEZ;VINCENT;EXG;394;0,44;0,72;N
62_7;MILLOT;FRANÃ‡OISE;EXG;333;0,36;0,71;N
62_8;BOUREL;LAURE;EXG;543;0,58;1,01;N
62_9;DUQUENNE;MARIE-DANIÃˆLE;EXG;380;0,48;0,84;N
62_10;LATASTE;FLORE;EXG;535;0,60;1,15;N
62_11;HUBERT;NATHALIE;EXG;330;0,35;0,62;N
62_12;SCHEENAERTS;RÃ‰GIS;EXG;713;0,75;1,43;N
63_1;SAVRE;MARIE;EXG;243;0,30;0,56;N
63_2;LECLAIR;DOMINIQUE;EXG;349;0,41;0,67;N
63_3;DUFOUR;CLAUDE;EXG;242;0,28;0,47;N
63_4;SALAZAR;ALEXANDRINE;EXG;251;0,26;0,45;N
63_5;CAPRON;GABRIELLE;EXG;227;0,23;0,38;N
64_1;MARTIN;MICHÃˆLE;EXG;230;0,33;0,59;N
64_2;STEINBAUER;FRÃ‰DÃ‰RIC;EXG;127;0,16;0,26;N
64_3;MERCHER;PASCAL;EXG;141;0,17;0,28;N
64_4;RATSIMBA;BERTHE;EXG;107;0,13;0,21;N
64_5;HUBERT;DANIÃˆLE;EXG;172;0,20;0,35;N
64_6;NOULIBOS;MICHÃˆLE;EXG;173;0,18;0,31;N
65_1;SAEZ;MARIA;EXG;218;0,25;0,41;N
65_2;MEUNIER;FRANÃ‡OIS;EXG;302;0,34;0,57;N
66_1;ADVENARD;PASCALE;EXG;98;0,14;0,25;N
66_2;PLANA;LIBERTO;EXG;305;0,34;0,57;N
66_3;URROZ;ANNA-MARIA;EXG;185;0,23;0,38;N
66_4;SILAN;ESTHER;EXG;196;0,21;0,34;N
67_1;MORINAUD;PIERRETTE;EXG;98;0,15;0,30;N
67_2;DEL GRANDE;ELISABETH;EXG;102;0,14;0,27;N
67_3;LECHENE;MARIE-CLAIRE;EXG;265;0,39;0,75;N
67_4;BAUD-BERTHIER;MARC;EXG;131;0,15;0,26;N
67_5;DUTTER;PATRICK;EXG;556;0,56;1,04;N
67_6;LANGLADE;JEANNE-FRANÃ‡OISE;EXG;232;0,25;0,46;N
67_7;BAS;LILIANE;EXG;265;0,31;0,57;N
67_8;GSELL;CATHERINE;EXG;273;0,29;0,56;N
67_9;DELAYE;JEAN-MICHEL;EXG;467;0,53;0,99;N
68_1;SCHAFFAR;GILLES;EXG;163;0,22;0,40;N
68_2;SPRINGAUX;MYRIAM;EXG;297;0,33;0,58;N
68_3;FERRY;GÃ‰RAUD;EXG;231;0,28;0,51;N
68_4;SENSE;AIMÃ‰;EXG;439;0,44;0,80;N
68_5;WOSTYN;JULIEN;EXG;181;0,23;0,44;N
68_6;MULOT;NATHALIE;EXG;300;0,32;0,64;N
69_1;PERNIN;MARIE-CHRISTINE;EXG;160;0,23;0,43;N
69_2;COUZON;ARLETTE;EXG;135;0,18;0,31;N
69_3;CHAMPION;GILLES;EXG;60;0,09;0,15;N
69_4;DUDUKDJIAN;JEAN-NOÃ‹L;EXG;155;0,19;0,34;N
