Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp;qualifie
64_4;80161;46.76;REM;Loïc CORRÉGÉ;17694;22.07;47.21;non
64_5;90977;39.75;MDM;Florence LASSERRE-DAVID;20623;22.67;57.03;elu
64_5;90977;39.75;SOC;Colette CAPDEVIELLE;15536;17.08;42.97;non
64_6;99395;36.81;MDM;Vincent BRU;22872;23.01;62.51;elu
64_6;99395;36.81;LR;Maider AROSTEGUY;13715;13.8;37.49;non
65_1;88311;44.31;REM;Jean-Bernard SEMPASTOUS;23031;26.08;58.85;elu
65_1;88311;44.31;FI;Sylvie FERRER;16102;18.23;41.15;non
66_2;96636;41.91;FN;Louis ALIOT;20477;21.19;50.56;elu
66_2;96636;41.91;MDM;Christine ESPERT;20025;20.72;49.44;non
66_1;70972;36.25;REM;Romain GRAU;14720;20.74;57.22;elu
66_1;70972;36.25;FN;Alexandre BOLO;11007;15.51;42.78;non
66_4;97099;39.43;REM;Sébastien CAZENOVE;22193;22.86;57.97;elu
66_4;97099;39.43;FN;Stéphane MASSANELL;16092;16.57;42.03;non
67_1;61033;36.35;REM;Thierry MICHELS;13301;21.79;59.95;elu
67_1;61033;36.35;SOC;Eric ELKOUBY;8885;14.56;40.05;non
67_2;69535;35.61;REM;Sylvain WASERMAN;14492;20.84;58.53;elu
67_2;69535;35.61;SOC;Philippe BIES;10268;14.77;41.47;non
65_2;89340;39.94;RDG;Jeanine DUBIÉ;18230;20.41;51.09;elu
65_2;89340;39.94;REM;Marie-Agnès STARICKY;17455;19.54;48.91;non
66_3;83038;37.57;REM;Laurence GAYTE;18501;22.28;59.31;elu
66_3;83038;37.57;FN;Sandrine DOGOR;12693;15.29;40.69;non
67_3;68885;34.82;REM;Bruno STUDER;14337;20.81;59.77;elu
67_3;68885;34.82;LR;Georges SCHULER;9648;14.01;40.23;non
67_5;103986;34.65;LR;Antoine HERTH;19507;18.76;54.14;elu
67_5;103986;34.65;REG;Gérard SIMLER;16522;15.89;45.86;non
67_4;94490;39.49;REM;Martine WONNER;20842;22.06;55.86;elu
67_4;94490;39.49;LR;Sophie ROHFRITSCH;16471;17.43;44.14;non
67_6;96037;41.33;LR;Laurent FURST;24843;25.87;62.6;elu
67_6;96037;41.33;MDM;Guy SALOMON;14845;15.46;37.4;non
67_7;85427;38.96;LR;Patrick HETZEL;20836;24.39;62.61;elu
67_7;85427;38.96;REM;Antoinette DE SANTIS;12445;14.57;37.39;non
67_8;94499;39.65;LR;Frédéric REISS;22063;23.35;58.88;elu
67_8;94499;39.65;REM;Christian GLIECH;15407;16.3;41.12;non
67_9;92729;36.37;REM;Vincent THIEBAUT;17210;18.56;51.03;elu
67_9;92729;36.37;LR;Etienne WOLF;16512;17.81;48.97;non
68_2;92208;40.1;LR;Jacques CATTIN;19001;20.61;51.39;elu
68_2;92208;40.1;REM;Hubert OTT;17974;19.49;48.61;non
68_3;85719;39.74;LR;Jean-Luc REITZER;18787;21.92;55.15;elu
68_3;85719;39.74;REM;Patrick STRIBY;15277;17.82;44.85;non
68_4;102685;34.9;LR;Raphaël SCHELLENBERGER;18234;17.76;50.88;elu
68_4;102685;34.9;REM;Aurélie TACQUARD;17604;17.14;49.12;non
69_2;74987;43.12;REM;Hubert JULIEN-LAFERRIERE;17139;22.86;53.0;elu
69_2;74987;43.12;DVG;Nathalie PERRIN-GILBERT;15198;20.27;47.0;non
68_5;77491;37.6;DVD;Olivier BECHT;16807;21.69;57.69;elu
68_5;77491;37.6;REM;Cécile LEHR;12327;15.91;42.31;non
68_1;76069;39.91;LR;Eric STRAUMANN;20163;26.51;66.41;elu
68_1;76069;39.91;REM;Stéphanie VILLEMIN;10199;13.41;33.59;non
68_6;92418;34.42;REM;Bruno FUCHS;20408;22.08;64.16;elu
68_6;92418;34.42;FN;Sylvain MARCELLI;11401;12.34;35.84;non
69_1;69503;39.61;REM;Thomas RUDIGOZ;17717;25.49;64.36;elu
69_1;69503;39.61;FI;Elliott AUBIN;9811;14.12;35.64;non
69_3;72021;40.82;REM;Jean-Louis TOURAINE;17595;24.43;59.85;elu
69_3;72021;40.82;FI;Pascal LE BRUN;11805;16.39;40.15;non
69_5;88072;42.1;REM;Blandine BROCARD;22342;25.37;60.25;elu
69_5;88072;42.1;LR;Philippe COCHET;14740;16.74;39.75;non
69_6;82455;37.15;REM;Bruno BONNELL;18477;22.41;60.32;elu
69_6;82455;37.15;SOC;Najat VALLAUD-BELKACEM;12153;14.74;39.68;non
69_9;91683;40.7;LR;Bernard PERRUT;19029;20.76;51.0;elu
69_9;91683;40.7;REM;Marion CROIZEAU;18283;19.94;49.0;non
69_10;95268;40.28;REM;Thomas GASSILLOUD;24498;25.71;63.83;elu
69_10;95268;40.28;LR;Sophie CRUZ;13880;14.57;36.17;non
69_11;92513;37.91;REM;Jean-Luc FUGIT;19190;20.74;54.71;elu
69_11;92513;37.91;LR;Georges FENECH;15884;17.17;45.29;non
69_12;79783;40.05;MDM;Cyrille ISAAC-SIBILLE;17976;22.53;56.25;elu
69_12;79783;40.05;LR;Jérôme MOROGE;13981;17.52;43.75;non
69_4;80168;41.39;REM;Anne BRUGNERA;20095;25.07;60.55;elu
69_4;80168;41.39;LR;Dominique NACHURY;13090;16.33;39.45;non
69_13;84804;36.36;REM;Danièle CAZARIAN;16140;19.03;52.35;elu
69_13;84804;36.36;LR;Philippe MEUNIER;14692;17.32;47.65;non
69_7;68017;30.4;REM;Anissa KHEDHER;10463;15.38;50.6;elu
69_7;68017;30.4;LR;Alexandre VINCENDET;10215;15.02;49.4;non
69_8;102552;43.13;LR;Patrice VERCHÈRE;23720;23.13;53.62;elu
69_8;102552;43.13;REM;Joëlle TERROIR;20514;20.0;46.38;non
70_1;88459;44.22;REM;Barbara BESSOT BALLOT;23128;26.15;59.13;elu
70_1;88459;44.22;FN;Léonie CUGNOT;15989;18.08;40.87;non
70_2;90724;42.46;REM;Christophe LEJEUNE;22342;24.63;58.0;elu
70_2;90724;42.46;FN;Maurice MONNIER;16180;17.83;42.0;non
71_2;78344;40.32;LR;Josiane CORNELOUP;16124;20.58;51.04;elu
71_2;78344;40.32;REM;Vincent CHAUVET;15466;19.74;48.96;non
71_3;82724;37.05;REM;Rémy REBEYROTTE;16993;20.54;55.44;elu
71_3;82724;37.05;LR;Charles LANDRE;13660;16.51;44.56;non
71_4;82337;36.71;SOC;Cécile UNTERMAIER;16527;20.07;54.67;elu
71_4;82337;36.71;REM;Catherine GABRELLE;13701;16.64;45.33;non
71_5;89986;34.67;REM;Raphaël GAUVAIN;17189;19.1;55.09;elu
71_5;89986;34.67;LR;Gilles PLATRET;14012;15.57;44.91;non
69_14;74256;28.15;REM;Yves BLEIN;13714;18.47;65.6;elu
69_14;74256;28.15;FN;Damien MONCHAU;7192;9.69;34.4;non
72_1;71771;38.11;REM;Damien PICHEREAU;13704;19.09;50.1;elu
72_1;71771;38.11;LR;Christelle MORANÇAIS;13648;19.02;49.9;non
72_2;81984;35.86;SOC;Marietta KARAMANLI;18192;22.19;61.88;elu
72_2;81984;35.86;REM;Aurélie PEROT;11208;13.67;38.12;non
72_3;85250;36.55;REM;Pascale FONTENEL-PERSONNE;16730;19.62;53.69;elu
72_3;85250;36.55;LR;Béatrice PAVY-MORANÇAIS;14430;16.93;46.31;non
72_4;79626;36.86;SOC;Stéphane LE FOLL;16117;20.24;54.91;elu
72_4;79626;36.86;LR;Emmanuel FRANCO;13235;16.62;45.09;non
71_1;72893;38.84;REM;Benjamin DIRX;16219;22.25;57.29;elu
71_1;72893;38.84;LR;Jean-Patrick COURTOIS;12090;16.59;42.71;non
73_1;87096;43.78;REM;Typhanie DEGOIS;19355;22.22;50.76;elu
73_1;87096;43.78;LR;Dominique DORD;18775;21.56;49.24;non
73_2;76029;32.39;LR;Vincent ROLLAND;14076;18.51;57.17;elu
73_2;76029;32.39;DIV;Philipe TROUTOT;10547;13.87;42.83;non
73_3;72714;38.0;LR;Emilie BONNIVARD;14857;20.43;53.77;elu
73_3;72714;38.0;REM;Philip VIVIER;12776;17.57;46.23;non
73_4;74639;31.97;MDM;Patrick MIGNOLA;13293;17.81;55.71;elu
73_4;74639;31.97;DVG;Bernadette LACLAIS;10568;14.16;44.29;non
74_1;100364;38.99;REM;Véronique RIOTTON;25174;25.08;64.32;elu
74_1;100364;38.99;LR;Annabel ANDRE-LAURENT;13962;13.91;35.68;non
