code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_m1_reel;prediction;voixT2_modele2
83;83;Var;2;Cécile MUSCHOTTI_83_2;2ème circonscription;F;MUSCHOTTI;Cécile;29;EM-MODEM;4;Non;Non;Non;11.1;44.3462602328;8;12309;13.6;24.12;-0.0419105119676;11176.6656632;11177;13455;-0.987783595113;-0.987783595113;degrade;oui;;;41745;0.0440392981251;16774;0.0348212933792;18302
83;83;Var;3;Alexandre ZAPOLSKY_83_3;3ème circonscription;M;ZAPOLSKY;Alexandre;40;EM-MODEM;2;Non;Non;Non;11.1;44.3462602328;8;14920;14.8;25.47;0.0162603259739;15511.7825767;15512;16523;0.369307548347;0.369307548347;améliore;oui;;;41745;0.0440392981251;17766;0.0413315952781;19737
83;83;Var;3;Jean-Louis MASSON_83_3;3ème circonscription;M;MASSON;Jean-Louis;63;LR-UMP;7;Non;Non;Oui;11.1;44.3462602328;8;14333;14.22;24.47;-0.111268116217;11093.5101395;11094;11302;1.06862421643;1.06862421643;ameliore/surestime;oui;;;15078;0.0310684164536;15496;0.0162958300033;16112
83;83;Var;4;Philippe LOTTIAUX_83_4;4ème circonscription;M;LOTTIAUX;Philippe;50;FN;3;Non;Non;Oui;11.1;44.3462602328;8;18289;17.21;30.14;-0.0602676435208;15919.2394918;15919;11245;0.336456558773;0.336456558773;améliore;oui;;;60621;0.040893260993;11671;0.0704877394646;14168
83;83;Var;4;Sereine MAUBORGNE_83_4;4ème circonscription;F;MAUBORGNE;Sereine;45;EM-MODEM;3;Non;Non;Non;11.1;44.3462602328;8;13576;12.78;22.37;-0.0369375541255;12469.0760913;12469;14671;-1.01095890411;-1.01095890411;degrade;oui;;;41745;0.0440392981251;16414;0.0372229329153;18027
83;83;Var;5;Philippe MICHEL-KLEISBAUER_83_5;5ème circonscription;M;MICHEL-KLEISBAUER;Philippe;48;EM-MODEM;3;Non;Non;Non;11.1;44.3462602328;8;12041;12.52;21.08;0.0303367212159;12980.1167372;12980;12513;1.98940677966;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;19798;0.0296632759734;21304
83;83;Var;5;Gilles LONGO_83_5;5ème circonscription;M;LONGO;Gilles;40;FN;3;Non;Non;Oui;11.1;44.3462602328;8;16404;17.05;28.71;-0.0550492658612;14451.0863054;14451;11188;0.374424846626;0.374424846626;améliore;oui;;;60621;0.040893260993;14320;0.0672342515818;17200
83;83;Var;6;Jérôme RIVIERE_83_6;6ème circonscription;M;RIVIERE;Jérôme;52;FN;2;Non;Non;Oui;11.1;44.3462602328;8;21701;18.33;31.03;-0.0519169402589;19255.8549882;19256;13661;0.304104477612;0.304104477612;améliore;oui;;;60621;0.040893260993;16812;0.0564341237747;19521
83;83;Var;6;Valérie GOMEZ-BASSAC_83_6;6ème circonscription;F;GOMEZ-BASSAC;Valérie;47;EM-MODEM;3;Non;Non;Non;11.1;44.3462602328;8;14529;12.27;20.77;-0.0345754501863;13417.1499532;13417;18133;-0.308546059933;-0.308546059933;degrade;oui;;;41745;0.0440392981251;26514;0.0621958750707;31339
83;83;Var;7;Emilie GUEREL_83_7;7ème circonscription;F;GUEREL;Emilie;33;EM-MODEM;4;Non;Non;Non;11.1;44.3462602328;8;14440;13.95;24.72;-0.0419105119676;13111.6298787;13112;14330;12.0727272727;1.715;surestime;oui;;;41745;0.0440392981251;21043;0.0312845084826;22742
