code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_modele1_depuism2;prediction;voixT2_modele2
7;7;Ardèche;3;Alain JOFFRE_7_3;3ème circonscription;M;JOFFRE;Alain;62;FG-FI;7;Non;Non;Non;10.8;43.8039233765;7;9565;12.21;20.74;-0.0819344588184;7920.46201549;7920;5970;0.457579972184;0.457579972184;améliore;non;;;71423;0.0576651973747;12959;0.00585464756309;13137
7;7;Ardèche;3;Matthieu PEYRAUD_7_3;3ème circonscription;M;PEYRAUD;Matthieu;43;EM-MODEM;3;Non;Non;Non;10.8;43.8039233765;7;10984;14.03;23.82;0.0455503499245;12349.6389172;12350;10748;-5.78813559322;-1.042;degrade;oui;;;41745;0.0440392981251;18232;0.00974220015434;18655
8;8;Ardennes;1;Jean-Pierre MORALI_8_1;1ère circonscription;M;MORALI;Jean-Pierre;53;EM-MODEM;3;Non;Non;Non;11.95;41.8987953199;4;10290;14.03;25.49;0.063342626089;12206.7631908;12207;8004;-0.838582677165;-0.838582677165;degrade;oui;;;41745;0.0440392981251;19539;-0.00610304839341;19266
8;8;Ardennes;1;Sophie LORENZO_8_1;1ère circonscription;F;LORENZO;Sophie;39;FN;2;Non;Non;Non;11.95;41.8987953199;4;12788;17.44;31.67;-0.0964207122314;10241.9326439;10242;7278;0.462068965517;0.462068965517;améliore;non;;;60621;0.040893260993;13330;0.0406649468141;14781
8;8;Ardennes;2;Guillaume LUCZKA_8_2;2ème circonscription;M;LUCZKA;Guillaume;29;FN;3;Non;Non;Non;11.95;41.8987953199;4;10475;16.4;29.95;-0.101978911405;8282.76081519;8283;5424;0.4339734706;0.4339734706;améliore;non;;;60621;0.040893260993;10356;0.0293037843605;11133
8;8;Ardennes;2;Mario IGLESIAS_8_2;2ème circonscription;M;IGLESIAS;Mario;68;EM-MODEM;7;Non;Non;Non;11.95;41.8987953199;4;7342;11.49;21.0;0.0167443885478;7642.41001647;7642;6269;-0.279589934762;-0.279589934762;degrade;oui;;;41745;0.0440392981251;15810;0.0117046793203;16254
8;8;Ardennes;3;Jean-Luc WARSMANN_8_3;3ème circonscription;M;WARSMANN;Jean-Luc;51;LR-UMP;3;Oui;Oui;Non;11.95;41.8987953199;4;7636;13.36;23.47;0.0338544522869;8309.6788301;8310;12931;0.127289896128;0.127289896128;améliore;oui;;;15078;0.0310684164536;15682;0.0294819586135;16867
8;8;Ardennes;3;Amandine BLOMME_8_3;3ème circonscription;F;BLOMME;Amandine;35;FN;2;Non;Non;Non;11.95;41.8987953199;4;9998;17.49;30.72;-0.106587326579;7822.14398381;7822;4917;0.428262153119;0.428262153119;améliore;oui;;;60621;0.040893260993;8041;0.0356611208633;8794
9;9;Ariège;1;Jérôme AZEMA_9_1;1ère circonscription;M;AZEMA;Jérôme;44;EM-MODEM;2;Non;Non;Non;12.1;44.8625701691;6;8261;14.56;25.09;0.0359405700543;9041.03287297;9041;9478;0.640920295809;0.640920295809;améliore;oui;;;41745;0.0440392981251;12133;0.01349347617;12528
9;9;Ariège;1;Bénédicte TAURINE_9_1;1ère circonscription;F;TAURINE;Bénédicte;40;FG-FI;4;Non;Non;Non;12.1;44.8625701691;6;7727;13.62;23.46;-0.0993080890363;6147.56066638;6148;6125;0.985642946317;0.985642946317;améliore;oui;;;71423;0.0576651973747;8991;-0.00456655608776;8897
9;9;Ariège;2;Huguette BERTRAND-VINZERICH_9_2;2ème circonscription;F;BERTRAND-VINZERICH;Huguette;59;EM-MODEM;8;Non;Non;Non;12.1;44.8625701691;6;8413;13.87;23.46;-0.0233637301667;7972.36472272;7972;8161;1.75;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;9939;-0.00227464299259;9887
9;9;Ariège;2;Michel LARIVE_9_2;2ème circonscription;M;LARIVE;Michel;50;FG-FI;4;Non;Non;Non;12.1;44.8625701691;6;7699;12.69;21.47;-0.0188895629647;7371.31137231;7371;5977;0.190476190476;0.190476190476;améliore;oui;;;71423;0.0576651973747;11587;-0.00119988211359;11555
10;10;Aube;1;Grégory BESSON-MOREAU_10_1;1ère circonscription;M;BESSON-MOREAU;Grégory;34;EM-MODEM;3;Non;Non;Non;12.75;41.719101558;4;8849;13.75;24.25;0.0351387788895;9663.36393969;9663;9730;0.923950056754;0.923950056754;améliore;oui;;;41745;0.0440392981251;9927;-0.00417579084276;9832
10;10;Aube;1;Nicolas DHUICQ_10_1;1ère circonscription;M;DHUICQ;Nicolas;56;LR-UMP;3;Oui;Oui;Oui;12.75;41.719101558;4;8964;13.93;24.56;0.00169186125285;8999.12585984;8999;8369;-0.0588235294118;-0.0588235294118;degrade_un_peu;oui;;;15078;0.0310684164536;8999;0.0127016333666;9274
10;10;Aube;1;Bruno SUBTIL_10_1;1ère circonscription;M;SUBTIL;Bruno;61;FN;3;Non;Non;Oui;12.75;41.719101558;4;12106;18.81;33.17;-0.0619902612911;10495.6758225;10496;8109;0.402802101576;0.402802101576;améliore;oui;;;60621;0.040893260993;10496;0.0533585612618;12074
10;10;Aube;2;Jean-Christophe LEFEVRE_10_2;2ème circonscription;M;LEFEVRE;Jean-Christophe;29;FN;3;Non;Non;Non;12.75;41.719101558;4;12314;16.68;27.85;-0.0797393050913;10248.4891145;10248;8041;0.483501053124;0.483501053124;améliore;non;;;60621;0.040893260993;13284;0.0310266680525;14346
10;10;Aube;2;Djamila HADDAD_10_2;2ème circonscription;F;HADDAD;Djamila;50;EM-MODEM;4;Non;Non;Non;12.75;41.719101558;4;10422;14.11;23.57;-0.012341767953;10129.9966299;10130;11251;-0.352231604343;-0.352231604343;degrade;oui;;;41745;0.0440392981251;18084;0.0157563145006;18778
10;10;Aube;3;Angélique RANC_10_3;3ème circonscription;F;RANC;Angélique;29;FN;8;Non;Non;Non;12.75;41.719101558;4;10240;15.6;26.28;-0.112629621362;7900.78666555;7901;6697;0.660174992944;0.660174992944;améliore;non;;;60621;0.040893260993;8573;0.0324226341251;9293
10;10;Aube;3;Pascal LANDRÉAT_10_3;3ème circonscription;M;LANDRÉAT;Pascal;52;EM-MODEM;3;Non;Non;Non;12.75;41.719101558;4;8904;13.56;22.85;0.0645200399394;10602.09201;10602;10180;1.33072100313;1.33072100313;ameliore/surestime;oui;;;41745;0.0440392981251;15904;0.0126420468387;16388
11;11;Aude;1;Danièle HÉRIN_11_1;1ère circonscription;F;HÉRIN;Danièle;70;EM-MODEM;7;Non;Non;Non;13.4;44.2860223571;8;13033;13.7;22.93;-0.0468460337079;11700.3367526;11700;13486;-2.94260485651;-1.042;degrade;oui;;;41745;0.0440392981251;19949;0.0401283850706;22087
11;11;Aude;1;Christophe BARTHÈS_11_1;1ère circonscription;M;BARTHÈS;Christophe;50;FN;1;Non;Non;Oui;13.4;44.2860223571;8;15203;15.99;26.74;-0.0182905832684;14576.0118343;14576;11199;0.156593406593;0.156593406593;améliore;oui;;;60621;0.040893260993;15257;0.0678420485417;18361
11;11;Aude;2;Jean-François DARAUD_11_2;2ème circonscription;M;DARAUD;Jean-François;62;FN;7;Non;Non;Non;13.4;44.2860223571;8;14095;15.86;27.48;-0.0241550933744;13332.4507118;13332;8492;0.13617704801;0.13617704801;améliore;oui;;;60621;0.040893260993;14286;0.0561093168951;16571
