circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
69_5;Blandine BROCARD;Cécile BÈNE;Philippe COCHET;Céline BERNARDI;;Jérôme Trotignon;;Véronique CHIAVAZZA;Ludivine CAPPEAU
69_6;Bruno BONNELL;Stéphane PONCET;Emmanuelle HAZIZA;Laurent LEGENDRE;Najat VALLAUD-BELKACEM;Béatrice Vessiller;;Mathieu SOARES;André DUBOIS
69_7;Anissa KHEDHER;Jean-Marie NICOLAS;Alexandre VINCENDET;Andréa KOTARAC;Renaud GAUQUELIN;Pierre Didier Tchetche-Apea;;Paul BOGHOSSIAN;Daniel ALBOUT
69_8;Joëlle TERROIR;Pierre TERRAIL;Patrice VERCHÈRE;Fabien DE MARCHI;;Bénédicte Hominal;;Gisèle BISSAY;Guy CAPPEAU
69_9;Marion CROIZEAU;Christophe BOUDOT;Bernard PERRUT;Teresa CACI;;Brigitte Ealet;;Etienne ALLOMBERT;Jean-Michel DHIMOÏLA
69_10;Thomas GASSILLOUD;Agnès MARION;Sophie CRUZ;Olivier DAUDÉ;;Victor Fornito;;Frédérique GALLIEN;Gerbert RAMBAUD
69_11;Jean-Luc FUGIT;Antoine MELLIES;Georges FENECH;Christine VALENTIN;Jules JOASSARD;Jérôme Bub;;Raymond COMBAZ;Philippe BADOIL
69_12;Cyrille ISAAC-SIBILLE;Muriel COATIVY;Jérôme MOROGE;Eloi NAVARRO;David CHIZAT;Hélène Dromain;;Bertrand MANTELET;Fabrice SANZ
69_13;Danièle CAZARIAN;Sandrine LIGOUT;Philippe MEUNIER;Roland PACAUD;Françoise BERGAME;Axel Marin;;Bernard AUGIER;Nathalie D'EYSSAUTIER
69_14;Yves BLEIN;Damien MONCHAU;;Benjamin NIVARD;;Véronique Giromagny;Maurice IACOVELLA;Michèle PICARD;Franck MULLER
70_1;Barbara BESSOT BALLOT;Léonie CUGNOT;Dimitri DOUSSOT;François FROIDUROT;Laurent RICARD;Corinne Guyonnet;;Cyril MORLOT;Marc MANTOVANI
70_2;Christophe LEJEUNE;Maurice MONNIER;Isabelle GEHIN;Isabelle HAISMANN-FEBVAY;;Marie-Claire Thomas;;Quentin HAFEKOST;Patrick ADAM
71_1;Benjamin DIRX;Nicole CABOCHE;Jean-Patrick COURTOIS;Patricia BACI;Catherine N'DIAYE;Claire Mallard;;Céline VINAUGER;Armand ROY
71_2;Vincent CHAUVET;Antoine CHUDZIK;Josiane CORNELOUP;;;Dominique Cornet;;Philippe BONNOT;Eric NEVERS
