circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
60_1;Denis FLOUR;Claire MARAIS-BEUIL;Olivier DASSAULT;Fabien NAVES;;Richard HEIM;;Thierry AURY;Nathalie HÉNOUX-DESHAYES
60_2;Agnès THILL;Gaëtan DUSSAUSAYE;Alexis MANCEL;Philippe VIROLLE;;Jacqueline Fontaine;;Marie LE GLOU;Roland GUILLAUX
60_3;Pascal BOIS;Philippe MURER;Frédérique LEBLANC;Karine MONSÉGU;Johann LUCAS;Mounia TANTAN;;Karim BOUKHACHBA;Jean-Marc GATEAU
60_4;Stéphanie LOZANO;Mylène TROSZCZYNSKI;Eric WOERTH;Martin BATTAGLIA;;Martine Bernard;;Caroline BREBANT;Anne SÉBIRE
60_5;Emmanuelle BOUR;François GACHIGNARD;Pierre VATIN;Laurent GRENIER;Bertrand BRASSENS;Luc Blanchard;;Hélène MASURE;Augusto FERNANDES
60_6;Carole BUREAU-BONNARD;Michel GUINIOT;Eric DE VALROGER;Géraldine MINET;;Caroline Marzuchetti;;Patrice CARVALHO;Véronique ROGEZ
60_7;Jean-François DARDENNE;Philippe LAMBILLIOTTE;Maxime MINOT;Marie-Laure DARRIGADE;Alexandre OUIZILLE;;;Marie-France BOUTROUE;Marc MOUILLESEAUX
61_1;;Raymond HERBRETEAU;Bertrand DENIAUD;Martine HAMEL;Joaquim PUEYO;Isabelle Robert;;François TOLLOT;Claudine PROD'HOMME
61_2;Ophélie LEROUGE;Francine LAVANRY;Véronique LOUWAGIE;Jean-Claude MARIE;Serge DELAVALLÉE;Pierre Ristic;;;Philippe CAMUS
61_3;Isabelle BOSCHER;Katia FRÉMONT;Jérôme NURY;Clément BUJARRABAL;;Corinne Malignac;;Jean CHATELAIS;Pierre LATEUX
62_1;Bruno DUVERGÉ;Agnès CAUDRON;Michel PETIT;Gabriel BERTEIN;Jean-Jacques COTTEL;Sylvie Joniaux;;Maryse MASSART;Arnaud CUGIER
62_2;Jacqueline MAQUET;Alban HEUSELE;;Caroline DELPLACE;Antoine DÉTOURNÉ;Laure Olivier;Alexandre MALFAIT;Leïla DUTAILLY;Véronique LOIR
62_3;Patrick DEBRUYNE;José EVRARD;Sabine BANACH-FINEZ;Djordje KUZMANOVIC;Frédérique MASSON;Jamel Oufqir;;Jean-Marc TELLIER;
62_4;Thibaut GUILLUY;Benoit DOLLE;Daniel FASQUELLE;Anaïs ALLIOT;Blandine DRAIN;Martine Minne;;;
62_5;Jean-Pierre PONT;Antoine GOLLIOT;Fabienne CHOCHOIS;Alain BERTHAULT;Mireille HINGREZ-CÉRÉDA;Cindy Pacques;;David GOBE;
62_6;Brigitte BOURGUIGNON;Marie-Christine BOURGEOIS;Jean-Michel TACCOEN;Nadine DEMAREY;;Charlotte Talpaert;;Patricia DUVIEUBOURG;Claudine BLAUWART
62_7;Dominique PIEDFORT;Philippe OLIVIER;Pierre-Henri DUMONT;Anne-Sophie LIGNIERT;Yann CAPET;Francis Gest;;Jacky HENIN;Sébastien LECOUSTRE
62_8;Benoit POTTERIE;Karine HAVERLANT;;Casimir LETELLIER;Bertrand PETIT;Florian Quèze;Muriel VOLLE;Rene HOCQ;
