Depts-Circo	LFI	PCF	EELV	PS	EM	UDI	LR	DLF	FN
006-08	6.3	0.7	0.6	2.01	12.58	2.03	16.39	1.49	14.62
006-09	6.65	0.74	0.66	2.2	13.43	1.89	15.22	1.76	15.14
060-01	8.05	0.89	0.7	2.35	12.15	1.16	9.91	2.08	18.75
060-02	7.81	0.86	0.67	2.26	12.02	1.25	10.92	2.3	19.37
060-03	11.04	1.36	1.31	4.33	11.84	0.98	7.36	0.45	15.28
060-04	7.19	0.81	0.76	2.51	14.89	1.75	13.91	1.95	14.27
060-05	8.49	0.96	0.76	2.55	13.27	1.25	10.26	2.04	16.28
060-06	8.46	0.95	0.74	2.5	13.06	1.33	10.97	2	16.8
060-07	9.81	1.12	0.77	2.63	12.24	1.02	8.69	2.08	16.89
061-01	7.7	0.97	1.39	4.44	15.66	1.76	12.75	0.34	12.15
061-02	6.61	0.73	0.65	2.17	13.27	1.81	14.92	2.14	15.34
061-03	7.83	0.89	0.8	2.65	15.06	1.59	12.58	2.13	13.16
062-01	7.75	0.85	0.68	2.28	12.34	1.33	11.54	2.28	19.9
062-10	10.09	1.22	1.19	3.92	9.47	0.73	6.16	0.58	19.78
062-11	10.85	1.3	1.16	3.86	8.96	0.63	5.49	0.6	20.35
062-12	9.81	1.17	1.18	3.89	9.53	0.67	5.76	0.63	21.22
062-02	9.43	1.19	1.53	4.92	15.55	1.37	9.65	0.38	13.23
062-03	11.35	1.37	1.18	3.93	8.61	0.59	5.08	0.57	19.24
062-04	7.08	0.79	0.78	2.57	15.18	1.59	12.61	1.99	15.25
062-05	9.94	1.23	1.35	4.42	13.09	1.12	8.24	0.44	14.93
062-06	8.25	0.91	0.71	2.39	12.63	1.32	11.35	2.39	18.92
062-07	9.18	1.03	0.67	2.32	10.51	0.94	8.38	1.96	18.32
062-08	9.01	1.01	0.75	2.55	12.47	1.07	8.99	1.95	17.63
062-09	8.86	1	0.74	2.51	12.58	1.2	10.07	2.09	17.3
063-01	11.07	1.45	1.83	5.93	17.21	1.18	7.27	0.23	7.98
063-02	10.5	1.34	1.65	5.35	16.1	1.27	8.51	0.31	10.77
063-03	9.46	1.25	1.79	5.74	18.97	1.65	10.72	0.2	7.14
063-04	11.27	1.45	1.75	5.68	17.19	1.25	8.02	0.27	9.36
063-05	10.45	1.31	1.49	4.86	15	1.2	8.25	0.35	12.04
064-01	10.01	1.32	1.87	5.99	18.66	1.38	9.41	1.36	7.98
064-02	9.49	1.24	1.79	5.72	19.06	1.42	9.83	1.48	9.03
064-03	10.35	1.35	1.79	5.77	16.58	1.18	8.31	1.45	9.46
064-04	9.18	1.09	0.85	2.85	14.13	1.22	8.67	1.18	6.88
064-05	10.15	1.33	1.76	5.66	17.22	1.49	10.56	1.26	7.7
064-06	9.02	1.19	1.6	5.14	16.75	1.71	12.28	1.13	6.73
065-01	11.46	1.47	1.74	5.64	16.38	1.13	7.97	1.47	9.89
065-02	10.94	1.39	1.62	5.28	16.08	1.26	9.23	1.57	10.88
066-01	10.08	1.24	1.26	4.15	12.48	1.25	9.38	0.42	14.39
066-02	9.53	1.14	1.11	3.66	11.48	1.2	9.47	0.53	18.13
066-03	10.89	1.35	1.36	4.48	12.2	1.18	8.85	0.42	14.48
066-04	10.51	1.29	1.29	4.25	12.4	1.2	9.05	0.46	15.76
067-01	11.8	1.57	2.04	6.58	18.47	1.6	10.4	0.15	5.56
067-02	10.79	1.42	1.83	5.91	16.63	1.38	9.13	0.24	8.4
067-03	10.17	1.31	1.63	5.27	15.85	1.45	9.85	0.25	8.93
067-04	6.61	0.75	0.82	2.67	16.7	1.83	14.21	2.19	12.49
067-05	6.58	0.73	0.69	2.29	13.67	1.48	12.44	2.66	15.76
067-06	6.39	0.7	0.7	2.29	14.01	1.58	13.13	2.6	15.52
067-07	5.8	0.62	0.62	2.03	12.74	1.47	12.86	2.93	17.89
067-08	5.08	0.53	0.58	1.88	12.4	1.48	13.07	2.99	18.21
067-09	5.62	0.61	0.66	2.15	13.8	1.62	13.54	2.61	15.8
068-01	6.7	0.75	0.71	2.36	13.9	1.5	12.15	2.2	14.11
068-02	6.9	0.77	0.7	2.31	13.65	1.55	12.96	2.6	14.97
068-03	5.76	0.63	0.6	1.99	12.86	1.77	15.1	2.82	15.32
068-04	7.11	0.78	0.64	2.13	11.9	1.3	11.55	2.77	17.86
068-05	7.6	0.96	1.3	4.19	14.32	1.59	11.45	0.31	10.87
068-06	7.54	0.85	0.67	2.26	12.3	1.36	11.39	2.19	15
069-01	11.24	1.48	1.93	6.23	18.84	1.55	9.96	0.18	6.44
069-10	6.99	0.81	0.87	2.83	17.62	1.95	14.88	2.19	10.63
069-11	8.83	1.02	0.86	2.88	15.43	1.45	11.21	1.97	13.07
069-12	8.37	1.09	1.58	5.04	18.39	1.94	13.29	0.22	7.94
069-13	8.08	0.93	0.82	2.73	15.09	1.49	11.51	1.83	12.98
069-14	12.3	1.55	1.43	4.75	12.1	0.85	5.74	0.28	9.73
069-02	12.49	1.67	2.14	6.9	19.66	1.77	11.41	0.11	4.23
069-03	11.99	1.61	2.15	6.93	19.63	1.59	10.03	0.14	5.25
069-04	8.82	1.19	1.86	5.93	20.81	2.14	14.27	0.13	5.16
069-05	7.02	0.91	1.45	4.61	18.69	2.21	15.42	0.21	7.68
069-06	11.74	1.54	1.85	5.99	16.39	1.24	7.9	0.19	6.72
069-07	11.12	1.42	1.53	5	13.77	1.14	7.65	0.24	8.33
069-08	7	0.8	0.8	2.62	16.01	1.89	14.69	2.06	11.69
069-09	7.1	0.8	0.76	2.51	14.86	1.69	13.37	2.07	13.54
007-01	10.98	1.37	1.48	4.85	13.77	1.16	8.3	0.4	13.63
007-02	8.74	1.01	0.83	2.78	14.76	1.4	11.05	2.15	12.89
007-03	12.21	1.53	1.49	4.92	13.7	1.29	9.23	0.34	11.64
070-01	7.49	0.83	0.72	2.39	13.33	1.4	11.65	2.28	16.52
