Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Céline;VALADIER;Vaucluse;84;3;https://www.facebook.com/Valadier-C%C3%A9line-601701516683073/?fref=ts;https://twitter.com/CelineValadier;http://www.parti-socialiste.fr/personnalite/celine-valadier/
Jean-David;CIOT;Bouches-du-Rhône;13;14;https://www.facebook.com/jdciot/?fref=ts;https://twitter.com/jdciot;http://www.parti-socialiste.fr/personnalite/jean-david-ciot/
Insaf;REZAGUI;Var;83;5;https://www.facebook.com/insafrez/?fref=ts;https://twitter.com/InsafRez;http://www.parti-socialiste.fr/personnalite/insaf-rezagui/
William;SEEMULLER;Var;83;3;https://www.facebook.com/profile.php?id=100012649274598;https://twitter.com/WSeemuller83400;http://www.parti-socialiste.fr/personnalite/william-seemuller/
Valentin;GIES;Var;83;1;https://www.facebook.com/ValentinGies/;https://twitter.com/valentingies;http://www.parti-socialiste.fr/personnalite/valentin-gies/
Cécile;MUSCHOTTI;Var;83;2;https://www.facebook.com/cmuschotti/?fref=ts;https://twitter.com/CMUSCHOTTI;http://www.parti-socialiste.fr/personnalite/cecile-muschotti/
Isabelle;ROVARINO;Bouches-du-Rhône;13;12;https://www.facebook.com/Isabelle-Rovarino-l%C3%A9gislatives-2017-1216935275064382/?ref=py_c;;http://www.parti-socialiste.fr/personnalite/isabelle-rovarino/
Stéphanie;HARKANE;Bouches-du-Rhône;13;9;;https://twitter.com/Harka1Harkane;http://www.parti-socialiste.fr/personnalite/stephanie-harkane/
Nora;MEBAREK;Bouches-du-Rhône;13;16;https://www.facebook.com/nora.mebarek.2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/nora-mebarek/
Henri;JIBRAYEL;Bouches-du-Rhône;13;7;;https://twitter.com/henrijibrayel;http://www.parti-socialiste.fr/personnalite/henri-jibrayel/
Patrick;MENNUCCI;Bouches-du-Rhône;13;4;https://www.facebook.com/patrick.mennucci/;https://twitter.com/patrickmennucci?lang=fr;http://www.parti-socialiste.fr/personnalite/patrick-mennucci/
Xavier;Garcia;Alpes-Maritimes;06;3;https://www.facebook.com/xavier.garcia.756859;https://twitter.com/xaviergarcia_06?lang=fr;http://www.parti-socialiste.fr/personnalite/xavier-garcia/
